"stock_name","attribute_name","include"
"Atlantic thread herring","Bottom temperature",FALSE
"Ballyhoo","Bottom temperature",FALSE
"Blue runner","Bottom temperature",FALSE
"Dolphinfish","Bottom temperature",FALSE
"Gray angelfish","Bottom temperature",TRUE
"Hogfish","Bottom temperature",TRUE
"King mackerel","Bottom temperature",FALSE
"Lane snapper","Bottom temperature",TRUE
"Long-spined sea urchin","Bottom temperature",TRUE
"Misty grouper","Bottom temperature",TRUE
"Mutton snapper","Bottom temperature",TRUE
"Nassau grouper","Bottom temperature",TRUE
"Queen conch","Bottom temperature",TRUE
"Queen snapper","Bottom temperature",TRUE
"Queen triggerfish","Bottom temperature",TRUE
"Rainbow parrotfish","Bottom temperature",TRUE
"Red grouper","Bottom temperature",TRUE
"Red hind","Bottom temperature",TRUE
"Sea cucumbers","Bottom temperature",TRUE
"Silk snapper","Bottom temperature",TRUE
"Spiny lobster","Bottom temperature",TRUE
"Stoplight parrotfish","Bottom temperature",TRUE
"White mullet","Bottom temperature",FALSE
"Yellowfin grouper","Bottom temperature",TRUE
"Yellowtail snapper","Bottom temperature",TRUE
"Atlantic thread herring","Sea surface oxygen",TRUE
"Ballyhoo","Sea surface oxygen",TRUE
"Blue runner","Sea surface oxygen",TRUE
"Dolphinfish","Sea surface oxygen",TRUE
"Gray angelfish","Sea surface oxygen",TRUE
"Hogfish","Sea surface oxygen",TRUE
"King mackerel","Sea surface oxygen",TRUE
"Lane snapper","Sea surface oxygen",TRUE
"Long-spined sea urchin","Sea surface oxygen",TRUE
"Misty grouper","Sea surface oxygen",FALSE
"Mutton snapper","Sea surface oxygen",TRUE
"Nassau grouper","Sea surface oxygen",FALSE
"Queen conch","Sea surface oxygen",TRUE
"Queen snapper","Sea surface oxygen",FALSE
"Queen triggerfish","Sea surface oxygen",TRUE
"Rainbow parrotfish","Sea surface oxygen",TRUE
"Red grouper","Sea surface oxygen",FALSE
"Red hind","Sea surface oxygen",FALSE
"Sea cucumbers","Sea surface oxygen",TRUE
"Silk snapper","Sea surface oxygen",FALSE
"Spiny lobster","Sea surface oxygen",TRUE
"Stoplight parrotfish","Sea surface oxygen",TRUE
"White mullet","Sea surface oxygen",TRUE
"Yellowfin grouper","Sea surface oxygen",FALSE
"Yellowtail snapper","Sea surface oxygen",TRUE
"Atlantic thread herring","Sea surface temperature",TRUE
"Ballyhoo","Sea surface temperature",TRUE
