stock_name,attribute_type,attribute_name,n_reviewers,tally_L,tally_M,tally_H,tally_VH,pooled_tally_sum,expected_tally_sum,tally_sum_ok,pooled_mean_score
Atlantic thread herring,Qualitative Exposure,Sargassum influx,4,0,8,11,1,20,20,TRUE,2.65
Atlantic thread herring,Sensitivity,Adult mobility,4,10,9,1,0,20,20,TRUE,1.55
Atlantic thread herring,Sensitivity,Complexity in reproductive strategy,4,12,8,0,0,20,20,TRUE,1.4
Atlantic thread herring,Sensitivity,Genetic diversity,4,17,3,0,0,20,20,TRUE,1.15
Atlantic thread herring,Sensitivity,Habitat specificity,4,10,6,4,0,20,20,TRUE,1.7
Atlantic thread herring,Sensitivity,Mobility and dispersal or early life stages,4,5,9,6,0,20,20,TRUE,2.05
Atlantic thread herring,Sensitivity,Other stressors,4,8,6,6,0,20,20,TRUE,1.9
Atlantic thread herring,Sensitivity,Population growth rate,4,17,3,0,0,20,20,TRUE,1.15
Atlantic thread herring,Sensitivity,Predation and competition dynamics,4,6,9,5,0,20,20,TRUE,1.95
Atlantic thread herring,Sensitivity,Prey specificity,4,5,9,6,0,20,20,TRUE,2.05
Atlantic thread herring,Sensitivity,Spawning characteristics,4,2,15,3,0,20,20,TRUE,2.05
Atlantic thread herring,Sensitivity,Species range,4,10,5,5,0,20,20,TRUE,1.75
Atlantic thread herring,Sensitivity,Specificity in early life history requirements,4,5,8,7,0,20,20,TRUE,2.1
Atlantic thread herring,Sensitivity,Stock Size Status,4,10,6,4,0,20,20,TRUE,1.7
Atlantic thread herring,Sensitivity,Tolerance to ocean acidification,4,14,3,3,0,20,20,TRUE,1.45
Ballyhoo,Qualitative Exposure,Sargassum influx,4,0,5,12,3,20,20,TRUE,2.9
Ballyhoo,Sensitivity,Adult mobility,4,9,11,0,0,20,20,TRUE,1.55
Ballyhoo,Sensitivity,Complexity in reproductive strategy,4,9,9,2,0,20,20,TRUE,1.65
Ballyhoo,Sensitivity,Genetic diversity,4,18,2,0,0,20,20,TRUE,1.1
Ballyhoo,Sensitivity,Habitat specificity,4,16,4,0,0,20,20,TRUE,1.2
Ballyhoo,Sensitivity,Mobility and dispersal or early life stages,4,6,7,7,0,20,20,TRUE,2.05
Ballyhoo,Sensitivity,Other stressors,4,4,10,6,0,20,20,TRUE,2.1
Ballyhoo,Sensitivity,Population growth rate,4,17,3,0,0,20,20,TRUE,1.15
Ballyhoo,Sensitivity,Predation and competition dynamics,4,1,14,5,0,20,20,TRUE,2.2
Ballyhoo,Sensitivity,Prey specificity,4,14,6,0,0,20,20,TRUE,1.3
Ballyhoo,Sensitivity,Spawning characteristics,4,8,7,5,0,20,20,TRUE,1.85
Ballyhoo,Sensitivity,Species range,4,7,10,3,0,20,20,TRUE,1.8
Ballyhoo,Sensitivity,Specificity in early life history requirements,4,2,9,8,1,20,20,TRUE,2.4
Ballyhoo,Sensitivity,Stock Size Status,4,2,9,9,0,20,20,TRUE,2.35
Ballyhoo,Sensitivity,Tolerance to ocean acidification,4,19,1,0,0,20,20,TRUE,1.05
Blue runner,Qualitative Exposure,Sargassum influx,4,6,12,2,0,20,20,TRUE,1.8
Blue runner,Qualitative Exposure,Thermocline depth,4,8,9,3,0,20,20,TRUE,1.75
Blue runner,Sensitivity,Adult mobility,4,14,5,1,0,20,20,TRUE,1.35
Blue runner,Sensitivity,Complexity in reproductive strategy,4,17,3,0,0,20,20,TRUE,1.15
Blue runner,Sensitivity,Genetic diversity,4,19,1,0,0,20,20,TRUE,1.05
Blue runner,Sensitivity,Habitat specificity,4,15,5,0,0,20,20,TRUE,1.25
Blue runner,Sensitivity,Mobility and dispersal or early life stages,4,11,9,0,0,20,20,TRUE,1.45
Blue runner,Sensitivity,Other stressors,4,15,5,0,0,20,20,TRUE,1.25
Blue runner,Sensitivity,Population growth rate,4,10,9,1,0,20,20,TRUE,1.55
Blue runner,Sensitivity,Predation and competition dynamics,4,4,12,4,0,20,20,TRUE,2
Blue runner,Sensitivity,Prey specificity,4,9,11,0,0,20,20,TRUE,1.55
Blue runner,Sensitivity,Spawning characteristics,4,10,6,4,0,20,20,TRUE,1.7
Blue runner,Sensitivity,Species range,4,11,5,3,1,20,20,TRUE,1.7
Blue runner,Sensitivity,Specificity in early life history requirements,4,6,7,6,1,20,20,TRUE,2.1
Blue runner,Sensitivity,Stock Size Status,4,12,8,0,0,20,20,TRUE,1.4
Blue runner,Sensitivity,Tolerance to ocean acidification,4,14,5,1,0,20,20,TRUE,1.35
Dolphinfish,Qualitative Exposure,Sargassum influx,4,3,5,7,5,20,20,TRUE,2.7
Dolphinfish,Qualitative Exposure,Thermocline depth,4,5,4,6,5,20,20,TRUE,2.55
Dolphinfish,Sensitivity,Adult mobility,4,15,5,0,0,20,20,TRUE,1.25
Dolphinfish,Sensitivity,Complexity in reproductive strategy,4,9,7,4,0,20,20,TRUE,1.75
Dolphinfish,Sensitivity,Genetic diversity,4,19,1,0,0,20,20,TRUE,1.05
Dolphinfish,Sensitivity,Habitat specificity,4,7,9,4,0,20,20,TRUE,1.85
Dolphinfish,Sensitivity,Mobility and dispersal or early life stages,4,9,9,2,0,20,20,TRUE,1.65
Dolphinfish,Sensitivity,Other stressors,4,14,6,0,0,20,20,TRUE,1.3
Dolphinfish,Sensitivity,Population growth rate,4,18,2,0,0,20,20,TRUE,1.1
Dolphinfish,Sensitivity,Predation and competition dynamics,4,4,10,6,0,20,20,TRUE,2.1
Dolphinfish,Sensitivity,Prey specificity,4,16,4,0,0,20,20,TRUE,1.2
Dolphinfish,Sensitivity,Spawning characteristics,4,15,5,0,0,20,20,TRUE,1.25
Dolphinfish,Sensitivity,Species range,4,10,3,4,3,20,20,TRUE,2
Dolphinfish,Sensitivity,Specificity in early life history requirements,4,11,9,0,0,20,20,TRUE,1.45
Dolphinfish,Sensitivity,Stock Size Status,4,11,8,1,0,20,20,TRUE,1.5
Dolphinfish,Sensitivity,Tolerance to ocean acidification,4,20,0,0,0,20,20,TRUE,1
Gray angelfish,Qualitative Exposure,Sargassum influx,4,3,4,8,5,20,20,TRUE,2.75
Gray angelfish,Qualitative Exposure,Thermocline depth,4,3,8,6,3,20,20,TRUE,2.45
Gray angelfish,Sensitivity,Adult mobility,4,0,3,10,7,20,20,TRUE,3.2
Gray angelfish,Sensitivity,Complexity in reproductive strategy,4,10,3,5,2,20,20,TRUE,1.95
Gray angelfish,Sensitivity,Genetic diversity,4,3,14,3,0,20,20,TRUE,2
Gray angelfish,Sensitivity,Habitat specificity,4,1,2,14,3,20,20,TRUE,2.95
Gray angelfish,Sensitivity,Mobility and dispersal or early life stages,4,4,11,4,1,20,20,TRUE,2.1
Gray angelfish,Sensitivity,Other stressors,4,4,10,3,3,20,20,TRUE,2.25
Gray angelfish,Sensitivity,Population growth rate,4,3,8,7,2,20,20,TRUE,2.4
Gray angelfish,Sensitivity,Predation and competition dynamics,4,9,6,5,0,20,20,TRUE,1.8
Gray angelfish,Sensitivity,Prey specificity,4,7,7,5,1,20,20,TRUE,2
Gray angelfish,Sensitivity,Spawning characteristics,4,0,6,8,6,20,20,TRUE,3
Gray angelfish,Sensitivity,Species range,4,8,6,5,1,20,20,TRUE,1.95
Gray angelfish,Sensitivity,Specificity in early life history requirements,4,1,11,7,1,20,20,TRUE,2.4
Gray angelfish,Sensitivity,Stock Size Status,4,9,6,4,1,20,20,TRUE,1.85
Gray angelfish,Sensitivity,Tolerance to ocean acidification,4,6,12,2,0,20,20,TRUE,1.8
Hogfish,Qualitative Exposure,Sargassum influx,4,3,6,9,2,20,20,TRUE,2.5
Hogfish,Qualitative Exposure,Thermocline depth,4,11,9,0,0,20,20,TRUE,1.45
Hogfish,Sensitivity,Adult mobility,4,0,7,4,9,20,20,TRUE,3.1
Hogfish,Sensitivity,Complexity in reproductive strategy,4,13,3,1,3,20,20,TRUE,1.7
Hogfish,Sensitivity,Genetic diversity,4,2,3,7,8,20,20,TRUE,3.05
Hogfish,Sensitivity,Habitat specificity,4,4,6,5,5,20,20,TRUE,2.55
Hogfish,Sensitivity,Mobility and dispersal or early life stages,4,0,12,7,1,20,20,TRUE,2.45
Hogfish,Sensitivity,Other stressors,4,10,6,4,0,20,20,TRUE,1.7
Hogfish,Sensitivity,Population growth rate,4,2,9,7,2,20,20,TRUE,2.45
Hogfish,Sensitivity,Predation and competition dynamics,4,3,13,4,0,20,20,TRUE,2.05
Hogfish,Sensitivity,Prey specificity,4,2,10,2,6,20,20,TRUE,2.6
Hogfish,Sensitivity,Spawning characteristics,4,1,8,9,2,20,20,TRUE,2.6
Hogfish,Sensitivity,Species range,4,11,3,5,1,20,20,TRUE,1.8
Hogfish,Sensitivity,Specificity in early life history requirements,4,2,10,6,2,20,20,TRUE,2.4
Hogfish,Sensitivity,Stock Size Status,4,8,8,2,2,20,20,TRUE,1.9
Hogfish,Sensitivity,Tolerance to ocean acidification,4,2,11,6,1,20,20,TRUE,2.3
King mackerel,Qualitative Exposure,Sargassum influx,4,5,11,3,1,20,20,TRUE,2
King mackerel,Qualitative Exposure,Thermocline depth,4,6,11,3,0,20,20,TRUE,1.85
King mackerel,Sensitivity,Adult mobility,4,8,9,3,0,20,20,TRUE,1.75
King mackerel,Sensitivity,Complexity in reproductive strategy,4,14,4,2,0,20,20,TRUE,1.4
King mackerel,Sensitivity,Genetic diversity,4,12,6,2,0,20,20,TRUE,1.5
King mackerel,Sensitivity,Habitat specificity,4,12,5,3,0,20,20,TRUE,1.55
King mackerel,Sensitivity,Mobility and dispersal or early life stages,4,2,7,11,0,20,20,TRUE,2.45
King mackerel,Sensitivity,Other stressors,4,12,5,3,0,20,20,TRUE,1.55
King mackerel,Sensitivity,Population growth rate,4,13,5,2,0,20,20,TRUE,1.45
