stock_name,n_reviewers,total_tally
Atlantic thread herring,4,16
Ballyhoo,4,16
Blue runner,4,16
Dolphinfish,4,16
Gray angelfish,4,16
Hogfish,4,16
King mackerel,4,16
Lane snapper,4,16
Long-spined sea urchin,4,16
Misty grouper,4,16
Mutton snapper,4,16
Nassau grouper,4,16
Queen conch,4,16
Queen snapper,4,16
Queen triggerfish,4,16
Rainbow parrotfish,4,16
Red grouper,4,16
Red hind,4,16
Sea cucumbers,4,16
Silk snapper,4,16
Spiny lobster,4,16
Stoplight parrotfish,4,16
White mullet,4,16
Yellowfin grouper,4,16
Yellowtail snapper,4,16
