stock_name,AA,AK,BG,CZ,DB,ET,GR,JP,KO,MS,OT,RA,RE,RG,RL,SK,SW,WM
Atlantic thread herring,15,0,15,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0
Ballyhoo,15,0,15,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0
Blue runner,0,0,16,0,16,0,0,0,0,0,0,16,0,0,0,0,0,16
Dolphinfish,16,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,16
Gray angelfish,0,16,0,0,0,16,16,0,0,0,0,0,0,0,16,0,0,0
Hogfish,0,16,0,0,0,0,16,0,0,16,0,0,0,0,16,0,0,0
King mackerel,0,0,16,0,0,0,0,0,0,0,0,16,0,16,0,0,0,16
Lane snapper,15,0,0,0,0,15,0,0,15,0,0,0,15,0,0,0,0,0
Long-spined sea urchin,0,0,0,0,15,0,0,15,0,0,15,0,0,0,0,0,15,0
Misty grouper,15,0,0,0,0,15,0,0,0,15,0,0,0,0,0,15,0,0
Mutton snapper,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,15,0,15
Nassau grouper,0,0,0,16,0,0,0,0,0,16,16,0,0,0,0,16,0,0
Queen conch,0,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0
Queen snapper,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,14,14
Queen triggerfish,0,0,0,16,0,16,16,0,0,0,0,0,0,0,16,0,0,0
Rainbow parrotfish,0,0,0,17,0,0,16,0,0,0,0,0,16,0,16,0,0,0
Red grouper,0,0,0,0,0,0,0,0,0,16,16,16,0,0,0,16,0,0
Red hind,0,0,0,16,0,0,0,0,0,16,16,0,0,0,0,16,0,0
Sea cucumbers,0,0,0,0,0,0,0,15,0,0,15,15,0,0,0,0,15,0
Silk snapper,0,14,0,0,0,0,0,0,14,0,0,0,14,0,14,0,0,0
Spiny lobster,0,15,15,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0
Stoplight parrotfish,0,0,0,17,0,0,16,0,0,0,0,0,16,0,16,0,0,0
White mullet,0,0,0,0,15,0,0,15,0,0,0,0,0,15,0,0,0,15
Yellowfin grouper,0,0,0,16,0,0,0,0,0,16,0,16,0,0,0,16,0,0
Yellowtail snapper,15,0,0,0,0,15,0,0,15,0,0,0,15,0,0,0,0,0
