stock_name,sens_rank,n,prop
Atlantic thread herring,High,0,0
Atlantic thread herring,Low,9999,1
Atlantic thread herring,Moderate,1,0
Atlantic thread herring,Very High,0,0
Ballyhoo,High,0,0
Ballyhoo,Low,9278,0.928
Ballyhoo,Moderate,722,0.072
Ballyhoo,Very High,0,0
Blue runner,High,0,0
Blue runner,Low,10000,1
Blue runner,Moderate,0,0
Blue runner,Very High,0,0
Dolphinfish,High,0,0
Dolphinfish,Low,9996,1
Dolphinfish,Moderate,4,0
Dolphinfish,Very High,0,0
Gray angelfish,High,7229,0.723
Gray angelfish,Low,0,0
Gray angelfish,Moderate,2771,0.277
Gray angelfish,Very High,0,0
Hogfish,High,5145,0.514
Hogfish,Low,1,0
Hogfish,Moderate,4854,0.485
Hogfish,Very High,0,0
King mackerel,High,177,0.018
King mackerel,Low,110,0.011
King mackerel,Moderate,9713,0.971
King mackerel,Very High,0,0
Lane snapper,High,719,0.072
Lane snapper,Low,0,0
Lane snapper,Moderate,9281,0.928
Lane snapper,Very High,0,0
Long-spined sea urchin,High,9886,0.989
Long-spined sea urchin,Low,0,0
Long-spined sea urchin,Moderate,21,0.002
Long-spined sea urchin,Very High,93,0.009
Misty grouper,High,8592,0.859
Misty grouper,Low,0,0
Misty grouper,Moderate,0,0
Misty grouper,Very High,1408,0.141
Mutton snapper,High,9970,0.997
Mutton snapper,Low,0,0
Mutton snapper,Moderate,27,0.003
Mutton snapper,Very High,3,0
Nassau grouper,High,9933,0.993
Nassau grouper,Low,0,0
Nassau grouper,Moderate,0,0
Nassau grouper,Very High,67,0.007
Queen conch,High,10000,1
Queen conch,Low,0,0
Queen conch,Moderate,0,0
Queen conch,Very High,0,0
Queen snapper,High,4685,0.469
Queen snapper,Low,0,0
Queen snapper,Moderate,5315,0.531
Queen snapper,Very High,0,0
Queen triggerfish,High,591,0.059
Queen triggerfish,Low,57,0.006
Queen triggerfish,Moderate,9352,0.935
Queen triggerfish,Very High,0,0
Rainbow parrotfish,High,9982,0.998
Rainbow parrotfish,Low,0,0
Rainbow parrotfish,Moderate,1,0
Rainbow parrotfish,Very High,17,0.002
Red grouper,High,7912,0.791
Red grouper,Low,0,0
Red grouper,Moderate,2088,0.209
Red grouper,Very High,0,0
Red hind,High,10000,1
Red hind,Low,0,0
Red hind,Moderate,0,0
Red hind,Very High,0,0
Sea cucumbers,High,6994,0.699
Sea cucumbers,Low,0,0
Sea cucumbers,Moderate,3006,0.301
Sea cucumbers,Very High,0,0
Silk snapper,High,25,0.002
Silk snapper,Low,2354,0.235
Silk snapper,Moderate,7621,0.762
Silk snapper,Very High,0,0
Spiny lobster,High,12,0.001
Spiny lobster,Low,6103,0.61
Spiny lobster,Moderate,3885,0.388
Spiny lobster,Very High,0,0
Stoplight parrotfish,High,7297,0.73
Stoplight parrotfish,Low,0,0
Stoplight parrotfish,Moderate,2703,0.27
Stoplight parrotfish,Very High,0,0
White mullet,High,0,0
White mullet,Low,3226,0.323
White mullet,Moderate,6774,0.677
White mullet,Very High,0,0
Yellowfin grouper,High,8717,0.872
Yellowfin grouper,Low,0,0
Yellowfin grouper,Moderate,1283,0.128
Yellowfin grouper,Very High,0,0
Yellowtail snapper,High,0,0
Yellowtail snapper,Low,2899,0.29
Yellowtail snapper,Moderate,7101,0.71
Yellowtail snapper,Very High,0,0
