stock_name,factor_omitted,baseline_exp_rank,new_exp_rank,baseline_vuln_rank,new_vuln_rank,baseline_vuln_score,new_vuln_score,rank_changed,rank_change_direction
Atlantic thread herring,Bottom salinity,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Atlantic thread herring,Bottom temperature,Very High,High,Moderate,Low,4,3,TRUE,Lower
Atlantic thread herring,Chlorophyll-a concentration,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Atlantic thread herring,Mean sea surface temperature gradient,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Atlantic thread herring,Mixed layer depth,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Atlantic thread herring,Oxygen at 200m,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Atlantic thread herring,Precipitation,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Atlantic thread herring,Primary production,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Atlantic thread herring,Sea surface oxygen,Very High,High,Moderate,Low,4,3,TRUE,Lower
Atlantic thread herring,Sea surface salinity,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Atlantic thread herring,Sea surface temperature,Very High,High,Moderate,Low,4,3,TRUE,Lower
Atlantic thread herring,Surface pH,Very High,High,Moderate,Low,4,3,TRUE,Lower
Atlantic thread herring,Surface wind speed magnitude,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Ballyhoo,Bottom salinity,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Ballyhoo,Bottom temperature,Very High,High,Moderate,Low,4,3,TRUE,Lower
Ballyhoo,Chlorophyll-a concentration,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Ballyhoo,Mean sea surface temperature gradient,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Ballyhoo,Mixed layer depth,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Ballyhoo,Oxygen at 200m,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Ballyhoo,Precipitation,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Ballyhoo,Primary production,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Ballyhoo,Sea surface oxygen,Very High,High,Moderate,Low,4,3,TRUE,Lower
Ballyhoo,Sea surface salinity,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Ballyhoo,Sea surface temperature,Very High,High,Moderate,Low,4,3,TRUE,Lower
Ballyhoo,Surface pH,Very High,High,Moderate,Low,4,3,TRUE,Lower
Ballyhoo,Surface wind speed magnitude,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Blue runner,Bottom salinity,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Blue runner,Bottom temperature,Very High,High,Moderate,Low,4,3,TRUE,Lower
Blue runner,Chlorophyll-a concentration,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Blue runner,Mean sea surface temperature gradient,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Blue runner,Mixed layer depth,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Blue runner,Oxygen at 200m,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Blue runner,Precipitation,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Blue runner,Primary production,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Blue runner,Sea surface oxygen,Very High,High,Moderate,Low,4,3,TRUE,Lower
Blue runner,Sea surface salinity,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Blue runner,Sea surface temperature,Very High,High,Moderate,Low,4,3,TRUE,Lower
Blue runner,Surface pH,Very High,High,Moderate,Low,4,3,TRUE,Lower
Blue runner,Surface wind speed magnitude,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Dolphinfish,Bottom salinity,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
