stock_name,dir_rank,n,prop,baseline_dir_rank,baseline_w_mean
Atlantic thread herring,Negative,667,0.067,Neutral,-0.062
Atlantic thread herring,Neutral,9196,0.92,Neutral,-0.062
Atlantic thread herring,Positive,137,0.014,Neutral,-0.062
Ballyhoo,Negative,608,0.061,Neutral,-0.188
Ballyhoo,Neutral,9392,0.939,Neutral,-0.188
Ballyhoo,Positive,0,0,Neutral,-0.188
Blue runner,Negative,228,0.023,Neutral,0
Blue runner,Neutral,9529,0.953,Neutral,0
Blue runner,Positive,243,0.024,Neutral,0
Dolphinfish,Negative,0,0,Neutral,0.25
Dolphinfish,Neutral,7600,0.76,Neutral,0.25
Dolphinfish,Positive,2400,0.24,Neutral,0.25
Gray angelfish,Negative,7344,0.734,Negative,-0.438
Gray angelfish,Neutral,2656,0.266,Negative,-0.438
Gray angelfish,Positive,0,0,Negative,-0.438
Hogfish,Negative,7296,0.73,Negative,-0.438
Hogfish,Neutral,2704,0.27,Negative,-0.438
Hogfish,Positive,0,0,Negative,-0.438
King mackerel,Negative,8441,0.844,Negative,-0.5
King mackerel,Neutral,1559,0.156,Negative,-0.5
King mackerel,Positive,0,0,Negative,-0.5
Lane snapper,Negative,9604,0.96,Negative,-0.562
Lane snapper,Neutral,396,0.04,Negative,-0.562
Lane snapper,Positive,0,0,Negative,-0.562
Long-spined sea urchin,Negative,4401,0.44,Neutral,-0.312
Long-spined sea urchin,Neutral,5598,0.56,Neutral,-0.312
Long-spined sea urchin,Positive,1,0,Neutral,-0.312
Misty grouper,Negative,9609,0.961,Negative,-0.562
Misty grouper,Neutral,391,0.039,Negative,-0.562
Misty grouper,Positive,0,0,Negative,-0.562
Mutton snapper,Negative,9637,0.964,Negative,-0.562
Mutton snapper,Neutral,363,0.036,Negative,-0.562
Mutton snapper,Positive,0,0,Negative,-0.562
Nassau grouper,Negative,9891,0.989,Negative,-0.625
Nassau grouper,Neutral,109,0.011,Negative,-0.625
Nassau grouper,Positive,0,0,Negative,-0.625
Queen conch,Negative,9979,0.998,Negative,-0.688
Queen conch,Neutral,21,0.002,Negative,-0.688
Queen conch,Positive,0,0,Negative,-0.688
Queen snapper,Negative,391,0.039,Neutral,-0.125
Queen snapper,Neutral,9609,0.961,Neutral,-0.125
Queen snapper,Positive,0,0,Neutral,-0.125
Queen triggerfish,Negative,9984,0.998,Negative,-0.688
Queen triggerfish,Neutral,16,0.002,Negative,-0.688
Queen triggerfish,Positive,0,0,Negative,-0.688
Rainbow parrotfish,Negative,9998,1,Negative,-0.75
Rainbow parrotfish,Neutral,2,0,Negative,-0.75
Rainbow parrotfish,Positive,0,0,Negative,-0.75
Red grouper,Negative,9229,0.923,Negative,-0.562
Red grouper,Neutral,771,0.077,Negative,-0.562
Red grouper,Positive,0,0,Negative,-0.562
Red hind,Negative,7737,0.774,Negative,-0.438
Red hind,Neutral,2263,0.226,Negative,-0.438
Red hind,Positive,0,0,Negative,-0.438
Sea cucumbers,Negative,5900,0.59,Negative,-0.375
Sea cucumbers,Neutral,4100,0.41,Negative,-0.375
Sea cucumbers,Positive,0,0,Negative,-0.375
Silk snapper,Negative,82,0.008,Neutral,-0.125
Silk snapper,Neutral,9918,0.992,Neutral,-0.125
Silk snapper,Positive,0,0,Neutral,-0.125
Spiny lobster,Negative,2851,0.285,Neutral,-0.25
Spiny lobster,Neutral,7146,0.715,Neutral,-0.25
Spiny lobster,Positive,3,0,Neutral,-0.25
Stoplight parrotfish,Negative,9901,0.99,Negative,-0.625
Stoplight parrotfish,Neutral,99,0.01,Negative,-0.625
Stoplight parrotfish,Positive,0,0,Negative,-0.625
White mullet,Negative,5932,0.593,Negative,-0.375
White mullet,Neutral,4068,0.407,Negative,-0.375
White mullet,Positive,0,0,Negative,-0.375
Yellowfin grouper,Negative,9995,1,Negative,-0.75
Yellowfin grouper,Neutral,5,0,Negative,-0.75
Yellowfin grouper,Positive,0,0,Negative,-0.75
Yellowtail snapper,Negative,680,0.068,Neutral,-0.125
Yellowtail snapper,Neutral,9314,0.931,Neutral,-0.125
Yellowtail snapper,Positive,6,0.001,Neutral,-0.125
