stock_name,exposure_factor,mean_score,component_rank_baseline
Atlantic thread herring,Chlorophyll-a concentration,1.05,High
Atlantic thread herring,Precipitation,1,High
Atlantic thread herring,Primary production,1,High
Atlantic thread herring,Sea surface oxygen,4,High
Atlantic thread herring,Sea surface salinity,3.14,High
Atlantic thread herring,Sea surface temperature,4,High
Atlantic thread herring,Sargassum influx,2.65,High
Ballyhoo,Chlorophyll-a concentration,1.04,High
Ballyhoo,Precipitation,1,High
Ballyhoo,Primary production,1,High
Ballyhoo,Sea surface oxygen,4,High
Ballyhoo,Sea surface salinity,3.12,High
Ballyhoo,Sea surface temperature,4,High
Ballyhoo,Surface pH,4,High
Ballyhoo,Surface wind speed magnitude,1,High
Ballyhoo,Sargassum influx,2.9,High
Blue runner,Chlorophyll-a concentration,1.05,Low
Blue runner,Mixed layer depth,1,Low
Blue runner,Primary production,1,Low
Blue runner,Sea surface oxygen,4,Low
Blue runner,Sea surface temperature,4,Low
Blue runner,Surface wind speed magnitude,1,Low
Blue runner,Sargassum influx,1.8,Low
Blue runner,Thermocline depth,1.75,Low
Dolphinfish,Chlorophyll-a concentration,1.04,Moderate
Dolphinfish,Mixed layer depth,1,Moderate
Dolphinfish,Oxygen at 200m,2.92,Moderate
Dolphinfish,Primary production,1,Moderate
Dolphinfish,Sea surface oxygen,4,Moderate
Dolphinfish,Sea surface temperature,4,Moderate
Dolphinfish,Surface wind speed magnitude,1,Moderate
Dolphinfish,Sargassum influx,2.7,Moderate
Dolphinfish,Thermocline depth,2.55,Moderate
Gray angelfish,Bottom temperature,3.57,Very High
Gray angelfish,Chlorophyll-a concentration,1.05,Very High
Gray angelfish,Mixed layer depth,1,Very High
Gray angelfish,Precipitation,1,Very High
Gray angelfish,Primary production,1,Very High
Gray angelfish,Sea surface oxygen,4,Very High
Gray angelfish,Sea surface salinity,3.14,Very High
Gray angelfish,Sea surface temperature,4,Very High
Gray angelfish,Surface pH,4,Very High
Gray angelfish,Surface wind speed magnitude,1,Very High
Gray angelfish,Sargassum influx,2.75,Very High
Gray angelfish,Thermocline depth,2.45,Very High
Hogfish,Bottom temperature,3.57,Very High
Hogfish,Chlorophyll-a concentration,1.05,Very High
Hogfish,Mixed layer depth,1,Very High
Hogfish,Precipitation,1,Very High
Hogfish,Primary production,1,Very High
Hogfish,Sea surface oxygen,4,Very High
Hogfish,Sea surface salinity,3.14,Very High
Hogfish,Sea surface temperature,4,Very High
Hogfish,Surface pH,4,Very High
Hogfish,Surface wind speed magnitude,1,Very High
Hogfish,Sargassum influx,2.5,Very High
Hogfish,Thermocline depth,1.45,Very High
King mackerel,Chlorophyll-a concentration,1.04,Low
King mackerel,Mixed layer depth,1,Low
King mackerel,Precipitation,1,Low
King mackerel,Primary production,1,Low
King mackerel,Sea surface oxygen,4,Low
King mackerel,Sea surface temperature,4,Low
King mackerel,Surface wind speed magnitude,1,Low
King mackerel,Sargassum influx,2,Low
King mackerel,Thermocline depth,1.85,Low
Lane snapper,Bottom temperature,3.57,Very High
Lane snapper,Chlorophyll-a concentration,1.05,Very High
Lane snapper,Mixed layer depth,1,Very High
Lane snapper,Precipitation,1,Very High
Lane snapper,Primary production,1,Very High
Lane snapper,Sea surface oxygen,4,Very High
Lane snapper,Sea surface salinity,3.14,Very High
Lane snapper,Sea surface temperature,4,Very High
Lane snapper,Surface pH,4,Very High
Lane snapper,Surface wind speed magnitude,1,Very High
Lane snapper,Sargassum influx,2.9,Very High
Long-spined sea urchin,Bottom salinity,2.24,Very High
Long-spined sea urchin,Bottom temperature,3.57,Very High
Long-spined sea urchin,Chlorophyll-a concentration,1.05,Very High
Long-spined sea urchin,Precipitation,1,Very High
Long-spined sea urchin,Primary production,1,Very High
Long-spined sea urchin,Sea surface oxygen,4,Very High
Long-spined sea urchin,Sea surface salinity,3.14,Very High
Long-spined sea urchin,Sea surface temperature,4,Very High
