factor_omitted,n_stocks_tested,n_rank_changed,n_rank_lower,n_rank_higher,prop_rank_changed
Bottom temperature,19,17,17,0,0.895
Sea surface temperature,22,17,18,0,0.773
Surface pH,18,17,17,0,0.944
Sea surface oxygen,18,12,13,0,0.667
Bottom salinity,6,0,0,0,0
Chlorophyll-a concentration,25,0,0,0,0
Mean sea surface temperature gradient,2,0,0,0,0
Mixed layer depth,19,0,0,0,0
Oxygen at 200m,3,0,0,0,0
Precipitation,15,0,0,0,0
Primary production,23,0,0,0,0
Sargassum influx,23,0,0,0,0
Sea surface salinity,14,0,1,0,0
Surface wind speed magnitude,16,0,0,0,0
Thermocline depth,12,0,0,0,0
