stock_name,attribute_name,mean_score,component_rank_baseline
Atlantic thread herring,Adult mobility,1.55,Low
Atlantic thread herring,Complexity in reproductive strategy,1.4,Low
Atlantic thread herring,Genetic diversity,1.15,Low
Atlantic thread herring,Habitat specificity,1.7,Low
Atlantic thread herring,Mobility and dispersal or early life stages,2.05,Low
Atlantic thread herring,Other stressors,1.9,Low
Atlantic thread herring,Population growth rate,1.15,Low
Atlantic thread herring,Predation and competition dynamics,1.95,Low
Atlantic thread herring,Prey specificity,2.05,Low
Atlantic thread herring,Spawning characteristics,2.05,Low
Atlantic thread herring,Species range,1.75,Low
Atlantic thread herring,Specificity in early life history requirements,2.1,Low
Atlantic thread herring,Stock size/status,1.7,Low
Atlantic thread herring,Tolerance to ocean acidification,1.45,Low
Ballyhoo,Adult mobility,1.55,Low
Ballyhoo,Complexity in reproductive strategy,1.65,Low
Ballyhoo,Genetic diversity,1.1,Low
Ballyhoo,Habitat specificity,1.2,Low
Ballyhoo,Mobility and dispersal or early life stages,2.05,Low
Ballyhoo,Other stressors,2.1,Low
Ballyhoo,Population growth rate,1.15,Low
Ballyhoo,Predation and competition dynamics,2.2,Low
Ballyhoo,Prey specificity,1.3,Low
Ballyhoo,Spawning characteristics,1.85,Low
Ballyhoo,Species range,1.8,Low
Ballyhoo,Specificity in early life history requirements,2.4,Low
Ballyhoo,Stock size/status,2.35,Low
Ballyhoo,Tolerance to ocean acidification,1.05,Low
Blue runner,Adult mobility,1.35,Low
Blue runner,Complexity in reproductive strategy,1.15,Low
Blue runner,Genetic diversity,1.05,Low
Blue runner,Habitat specificity,1.25,Low
Blue runner,Mobility and dispersal or early life stages,1.45,Low
Blue runner,Other stressors,1.25,Low
Blue runner,Population growth rate,1.55,Low
Blue runner,Predation and competition dynamics,2,Low
Blue runner,Prey specificity,1.55,Low
Blue runner,Spawning characteristics,1.7,Low
Blue runner,Species range,1.7,Low
Blue runner,Specificity in early life history requirements,2.1,Low
Blue runner,Stock size/status,1.4,Low
Blue runner,Tolerance to ocean acidification,1.35,Low
Dolphinfish,Adult mobility,1.25,Low
Dolphinfish,Complexity in reproductive strategy,1.75,Low
Dolphinfish,Genetic diversity,1.05,Low
Dolphinfish,Habitat specificity,1.85,Low
Dolphinfish,Mobility and dispersal or early life stages,1.65,Low
Dolphinfish,Other stressors,1.3,Low
Dolphinfish,Population growth rate,1.1,Low
Dolphinfish,Predation and competition dynamics,2.1,Low
Dolphinfish,Prey specificity,1.2,Low
Dolphinfish,Spawning characteristics,1.25,Low
Dolphinfish,Species range,2,Low
Dolphinfish,Specificity in early life history requirements,1.45,Low
Dolphinfish,Stock size/status,1.5,Low
Dolphinfish,Tolerance to ocean acidification,1,Low
Gray angelfish,Adult mobility,3.2,Moderate
Gray angelfish,Complexity in reproductive strategy,1.95,Moderate
Gray angelfish,Genetic diversity,2,Moderate
Gray angelfish,Habitat specificity,2.95,Moderate
Gray angelfish,Mobility and dispersal or early life stages,2.1,Moderate
Gray angelfish,Other stressors,2.25,Moderate
Gray angelfish,Population growth rate,2.4,Moderate
Gray angelfish,Predation and competition dynamics,1.8,Moderate
Gray angelfish,Prey specificity,2,Moderate
Gray angelfish,Spawning characteristics,3,Moderate
Gray angelfish,Species range,1.95,Moderate
Gray angelfish,Specificity in early life history requirements,2.4,Moderate
Gray angelfish,Stock size/status,1.85,Moderate
Gray angelfish,Tolerance to ocean acidification,1.8,Moderate
Hogfish,Adult mobility,3.1,Moderate
Hogfish,Complexity in reproductive strategy,1.7,Moderate
Hogfish,Genetic diversity,3.05,Moderate
Hogfish,Habitat specificity,2.55,Moderate
Hogfish,Mobility and dispersal or early life stages,2.45,Moderate
Hogfish,Other stressors,1.7,Moderate
Hogfish,Population growth rate,2.45,Moderate
Hogfish,Predation and competition dynamics,2.05,Moderate
Hogfish,Prey specificity,2.6,Moderate
Hogfish,Spawning characteristics,2.6,Moderate
Hogfish,Species range,1.8,Moderate
Hogfish,Specificity in early life history requirements,2.4,Moderate
Hogfish,Stock size/status,1.9,Moderate
Hogfish,Tolerance to ocean acidification,2.3,Moderate
King mackerel,Adult mobility,1.75,Low
King mackerel,Complexity in reproductive strategy,1.4,Low
King mackerel,Genetic diversity,1.5,Low
King mackerel,Habitat specificity,1.55,Low
King mackerel,Mobility and dispersal or early life stages,2.45,Low
King mackerel,Other stressors,1.55,Low
King mackerel,Population growth rate,1.45,Low
King mackerel,Predation and competition dynamics,1.75,Low
King mackerel,Prey specificity,1.65,Low
King mackerel,Spawning characteristics,2.25,Low
King mackerel,Species range,2.9,Low
King mackerel,Specificity in early life history requirements,2.75,Low
King mackerel,Stock size/status,1.95,Low
King mackerel,Tolerance to ocean acidification,1.85,Low
Lane snapper,Adult mobility,2.05,Moderate
Lane snapper,Complexity in reproductive strategy,2.7,Moderate
Lane snapper,Genetic diversity,2,Moderate
Lane snapper,Habitat specificity,2.25,Moderate
Lane snapper,Mobility and dispersal or early life stages,1.55,Moderate
Lane snapper,Other stressors,2.8,Moderate
Lane snapper,Population growth rate,2.7,Moderate
Lane snapper,Predation and competition dynamics,2.3,Moderate
Lane snapper,Prey specificity,1.65,Moderate
Lane snapper,Spawning characteristics,2.1,Moderate
Lane snapper,Species range,1.2,Moderate
Lane snapper,Specificity in early life history requirements,2.45,Moderate
Lane snapper,Stock size/status,2.3,Moderate
Lane snapper,Tolerance to ocean acidification,2.9,Moderate
Long-spined sea urchin,Adult mobility,2.55,High
Long-spined sea urchin,Complexity in reproductive strategy,3.05,High
Long-spined sea urchin,Genetic diversity,3.25,High
Long-spined sea urchin,Habitat specificity,2.2,High
Long-spined sea urchin,Mobility and dispersal or early life stages,1.5,High
Long-spined sea urchin,Other stressors,3.2,High
Long-spined sea urchin,Population growth rate,1.8,High
Long-spined sea urchin,Predation and competition dynamics,2.65,High
Long-spined sea urchin,Prey specificity,1.35,High
