stock_name,sensitivity_rank_repro,sensitivity_score_numeric_repro,exposure_rank_repro,exposure_score_numeric_repro,vulnerability_score_numeric_repro,vulnerability_rank_repro
Atlantic thread herring,Low,1,High,3,3,Low
Ballyhoo,Low,1,High,3,3,Low
Blue runner,Low,1,Low,1,1,Low
Dolphinfish,Low,1,Moderate,2,2,Low
Gray angelfish,Moderate,2,Very High,4,8,High
Hogfish,Moderate,2,Very High,4,8,High
King mackerel,Low,1,Low,1,1,Low
Lane snapper,Moderate,2,Very High,4,8,High
Long-spined sea urchin,High,3,Very High,4,12,Very High
Misty grouper,High,3,High,3,9,High
Mutton snapper,High,3,Very High,4,12,Very High
Nassau grouper,High,3,High,3,9,High
Queen conch,Low,1,Very High,4,4,Moderate
Queen snapper,Moderate,2,Low,1,2,Low
Queen triggerfish,Moderate,2,Very High,4,8,High
Rainbow parrotfish,High,3,Very High,4,12,Very High
Red grouper,Moderate,2,High,3,6,Moderate
Red hind,Moderate,2,High,3,6,Moderate
Sea cucumbers,Moderate,2,Very High,4,8,High
Silk snapper,Low,1,Low,1,1,Low
Spiny lobster,Low,1,Very High,4,4,Moderate
Stoplight parrotfish,Moderate,2,Very High,4,8,High
White mullet,Low,1,Low,1,1,Low
Yellowfin grouper,Moderate,2,High,3,6,Moderate
Yellowtail snapper,Low,1,Very High,4,4,Moderate
