stock_name,factor_omitted,baseline_exp_rank,new_exp_rank,baseline_vuln_rank,new_vuln_rank,baseline_vuln_score,new_vuln_score,rank_changed,rank_change_direction
Atlantic thread herring,Chlorophyll-a concentration,High,High,Low,Low,3,3,FALSE,No change
Atlantic thread herring,Precipitation,High,High,Low,Low,3,3,FALSE,No change
Atlantic thread herring,Primary production,High,High,Low,Low,3,3,FALSE,No change
Atlantic thread herring,Sea surface oxygen,High,High,Low,Low,3,3,FALSE,No change
Atlantic thread herring,Sea surface salinity,High,High,Low,Low,3,3,FALSE,No change
Atlantic thread herring,Sea surface temperature,High,High,Low,Low,3,3,FALSE,No change
Atlantic thread herring,Sargassum influx,High,High,Low,Low,3,3,FALSE,No change
Ballyhoo,Chlorophyll-a concentration,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Ballyhoo,Precipitation,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Ballyhoo,Primary production,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Ballyhoo,Sea surface oxygen,Very High,High,Moderate,Low,4,3,TRUE,Lower
Ballyhoo,Sea surface salinity,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Ballyhoo,Sea surface temperature,Very High,High,Moderate,Low,4,3,TRUE,Lower
Ballyhoo,Surface pH,Very High,High,Moderate,Low,4,3,TRUE,Lower
Ballyhoo,Surface wind speed magnitude,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Ballyhoo,Sargassum influx,Very High,Very High,Moderate,Moderate,4,4,FALSE,No change
Blue runner,Chlorophyll-a concentration,High,High,Low,Low,3,3,FALSE,No change
Blue runner,Mixed layer depth,High,High,Low,Low,3,3,FALSE,No change
Blue runner,Primary production,High,High,Low,Low,3,3,FALSE,No change
Blue runner,Sea surface oxygen,High,Low,Low,Low,3,1,FALSE,Lower
Blue runner,Sea surface temperature,High,Low,Low,Low,3,1,FALSE,Lower
Blue runner,Surface wind speed magnitude,High,High,Low,Low,3,3,FALSE,No change
Blue runner,Sargassum influx,High,High,Low,Low,3,3,FALSE,No change
Blue runner,Thermocline depth,High,High,Low,Low,3,3,FALSE,No change
Dolphinfish,Chlorophyll-a concentration,High,High,Low,Low,3,3,FALSE,No change
Dolphinfish,Mixed layer depth,High,High,Low,Low,3,3,FALSE,No change
Dolphinfish,Oxygen at 200m,High,High,Low,Low,3,3,FALSE,No change
Dolphinfish,Primary production,High,High,Low,Low,3,3,FALSE,No change
Dolphinfish,Sea surface oxygen,High,Moderate,Low,Low,3,2,FALSE,Lower
Dolphinfish,Sea surface temperature,High,Moderate,Low,Low,3,2,FALSE,Lower
Dolphinfish,Surface wind speed magnitude,High,High,Low,Low,3,3,FALSE,No change
Dolphinfish,Sargassum influx,High,High,Low,Low,3,3,FALSE,No change
Dolphinfish,Thermocline depth,High,High,Low,Low,3,3,FALSE,No change
Gray angelfish,Bottom temperature,Very High,Very High,Very High,Very High,12,12,FALSE,No change
Gray angelfish,Chlorophyll-a concentration,Very High,Very High,Very High,Very High,12,12,FALSE,No change
