stock_name,adult_mobility_inverted,habitat_specificity_inverted,early_life_dispersal_inverted,species_range,dcp_rank,dcp_numeric,prop_L,prop_M,prop_H,prop_VH,dominant_rank,dominant_prop,borderline
Atlantic thread herring,3.45,3.3,2.95,1.75,High,3,0,0.0209,0.979,1e-4,High,0.979,FALSE
Ballyhoo,3.45,3.8,2.95,1.8,High,3,0,0,0.9993,7e-4,High,0.9993,FALSE
Blue runner,3.65,3.75,3.55,1.7,Very High,4,0,0,0.3155,0.6845,Very High,0.6845,TRUE
Dolphinfish,3.75,3.15,3.35,2,High,3,0,9e-4,0.9949,0.0042,High,0.9949,FALSE
Gray angelfish,1.7999999999999998,2.05,2.9,1.95,Low,1,0.9912,0.0088,0,0,Low,0.9912,FALSE
Hogfish,1.9,2.45,2.55,1.8,Low,1,0.6682,0.3318,0,0,Low,0.6682,TRUE
King mackerel,3.25,3.45,2.55,2.9,High,3,0,0.0314,0.9686,0,High,0.9686,FALSE
Lane snapper,2.95,2.75,3.45,1.2,Moderate,2,0,0.5569,0.4431,0,Moderate,0.5569,TRUE
Long-spined sea urchin,2.45,2.8,3.5,1.35,Moderate,2,0.0611,0.6914,0.2475,0,Moderate,0.6914,TRUE
Misty grouper,2.3,2.35,2.4,2.3,Low,1,0.7793,0.2207,0,0,Low,0.7793,FALSE
Mutton snapper,2.8,2.2,3.25,2,Moderate,2,0.0059,0.8977,0.0964,0,Moderate,0.8977,FALSE
Nassau grouper,2.9,2.65,2.8,2.7,Moderate,2,0,0.9719,0.0281,0,Moderate,0.9719,FALSE
Queen conch,2.6,3.5,3.3,1.75,High,3,0,0.0043,0.9957,0,High,0.9957,FALSE
Queen snapper,3.05,1.9,2.95,2.4,Moderate,2,0.0012,0.7063,0.2925,0,Moderate,0.7063,TRUE
Queen triggerfish,2.3,2.25,2.2,1.8,Low,1,0.9382,0.0618,0,0,Low,0.9382,FALSE
Rainbow parrotfish,2.1,1.85,2.25,2.6,Low,1,0.9125,0.0875,0,0,Low,0.9125,FALSE
Red grouper,2.85,2.5,2.95,2.2,Moderate,2,0.0035,0.9028,0.0937,0,Moderate,0.9028,FALSE
Red hind,3.05,3.2,2.75,2.05,High,3,0,0.2763,0.7237,0,High,0.7237,TRUE
Sea cucumbers,2.05,3,2.7,1.65,Moderate,2,0.0626,0.9243,0.0131,0,Moderate,0.9243,FALSE
Silk snapper,2.95,3.15,3.05,1.3,High,3,0,0.2757,0.7243,0,High,0.7243,TRUE
Spiny lobster,3.55,3.1,3.9,1.25,High,3,0,0,0.9946,0.0054,High,0.9946,FALSE
Stoplight parrotfish,2.65,2.2,2.45,2.5,Moderate,2,0.3476,0.6512,0.0012,0,Moderate,0.6512,TRUE
White mullet,3.15,2.4,2.55,2.2,Moderate,2,0.2033,0.7896,0.0071,0,Moderate,0.7896,FALSE
Yellowfin grouper,2.95,2.75,2.7,2.3,Moderate,2,0.0035,0.9381,0.0584,0,Moderate,0.9381,FALSE
Yellowtail snapper,3,2.5,3.55,1.15,High,3,0,0.43,0.57,0,High,0.57,TRUE
