stock_name,prop_L,prop_M,prop_H,prop_VH,dominant_rank,dominant_prop,borderline
Atlantic thread herring,0.002,0.5709,0.4271,0,Moderate,0.5709,TRUE
Ballyhoo,0.0047,0.5561,0.4392,0,Moderate,0.5561,TRUE
Blue runner,0,0,1,0,High,1,FALSE
Dolphinfish,0,0.1488,0.8512,0,High,0.8512,FALSE
Gray angelfish,1,0,0,0,Low,1,FALSE
Hogfish,0.9988,0.0012,0,0,Low,0.9988,FALSE
King mackerel,0.0017,0.6882,0.3101,0,Moderate,0.6882,TRUE
Lane snapper,0.0801,0.875,0.0449,0,Moderate,0.875,FALSE
Long-spined sea urchin,0.6376,0.3624,0,0,Low,0.6376,TRUE
Misty grouper,0.9654,0.0346,0,0,Low,0.9654,FALSE
Mutton snapper,0.9113,0.0887,0,0,Low,0.9113,FALSE
Nassau grouper,0.0016,0.9984,0,0,Moderate,0.9984,FALSE
Queen conch,0.2642,0.7034,0.0324,0,Moderate,0.7034,TRUE
Queen snapper,0.639,0.3584,0.0026,0,Low,0.639,TRUE
Queen triggerfish,0.9968,0.0032,0,0,Low,0.9968,FALSE
Rainbow parrotfish,0.9977,0.0023,0,0,Low,0.9977,FALSE
Red grouper,0.4402,0.5595,3e-4,0,Moderate,0.5595,TRUE
Red hind,0.0396,0.908,0.0524,0,Moderate,0.908,FALSE
Sea cucumbers,1,0,0,0,Low,1,FALSE
Silk snapper,0.0417,0.7063,0.252,0,Moderate,0.7063,TRUE
Spiny lobster,0,0.2036,0.7964,0,High,0.7964,FALSE
Stoplight parrotfish,0.8024,0.1976,0,0,Low,0.8024,FALSE
White mullet,0.7189,0.2811,0,0,Low,0.7189,TRUE
Yellowfin grouper,0.1238,0.8745,0.0017,0,Moderate,0.8745,FALSE
Yellowtail snapper,0.4103,0.5897,0,0,Moderate,0.5897,TRUE
