stock_name,adult_mobility_inverted,habitat_specificity_inverted,early_life_dispersal_inverted,species_range,dcp_rank,dcp_numeric,prop_L,prop_M,prop_H,prop_VH,dominant_rank,dominant_prop,borderline
Atlantic thread herring,3.45,3.3,2.95,1.75,Moderate,2,0.002,0.5709,0.4271,0,Moderate,0.5709,TRUE
Ballyhoo,3.45,3.8,2.95,1.8,Moderate,2,0.0047,0.5561,0.4392,0,Moderate,0.5561,TRUE
Blue runner,3.65,3.75,3.55,1.7,High,3,0,0,1,0,High,1,FALSE
Dolphinfish,3.75,3.15,3.35,2,High,3,0,0.1488,0.8512,0,High,0.8512,FALSE
Gray angelfish,1.7999999999999998,2.05,2.9,1.95,Low,1,1,0,0,0,Low,1,FALSE
Hogfish,1.9,2.45,2.55,1.8,Low,1,0.9988,0.0012,0,0,Low,0.9988,FALSE
King mackerel,3.25,3.45,2.55,2.9,Moderate,2,0.0017,0.6882,0.3101,0,Moderate,0.6882,TRUE
Lane snapper,2.95,2.75,3.45,1.2,Moderate,2,0.0801,0.875,0.0449,0,Moderate,0.875,FALSE
Long-spined sea urchin,2.45,2.8,3.5,1.35,Low,1,0.6376,0.3624,0,0,Low,0.6376,TRUE
Misty grouper,2.3,2.35,2.4,2.3,Low,1,0.9654,0.0346,0,0,Low,0.9654,FALSE
Mutton snapper,2.8,2.2,3.25,2,Low,1,0.9113,0.0887,0,0,Low,0.9113,FALSE
Nassau grouper,2.9,2.65,2.8,2.7,Moderate,2,0.0016,0.9984,0,0,Moderate,0.9984,FALSE
Queen conch,2.6,3.5,3.3,1.75,Moderate,2,0.2642,0.7034,0.0324,0,Moderate,0.7034,TRUE
Queen snapper,3.05,1.9,2.95,2.4,Low,1,0.639,0.3584,0.0026,0,Low,0.639,TRUE
Queen triggerfish,2.3,2.25,2.2,1.8,Low,1,0.9968,0.0032,0,0,Low,0.9968,FALSE
Rainbow parrotfish,2.1,1.85,2.25,2.6,Low,1,0.9977,0.0023,0,0,Low,0.9977,FALSE
Red grouper,2.85,2.5,2.95,2.2,Moderate,2,0.4402,0.5595,3e-4,0,Moderate,0.5595,TRUE
Red hind,3.05,3.2,2.75,2.05,Moderate,2,0.0396,0.908,0.0524,0,Moderate,0.908,FALSE
Sea cucumbers,2.05,3,2.7,1.65,Low,1,1,0,0,0,Low,1,FALSE
Silk snapper,2.95,3.15,3.05,1.3,Moderate,2,0.0417,0.7063,0.252,0,Moderate,0.7063,TRUE
Spiny lobster,3.55,3.1,3.9,1.25,High,3,0,0.2036,0.7964,0,High,0.7964,FALSE
Stoplight parrotfish,2.65,2.2,2.45,2.5,Low,1,0.8024,0.1976,0,0,Low,0.8024,FALSE
White mullet,3.15,2.4,2.55,2.2,Low,1,0.7189,0.2811,0,0,Low,0.7189,TRUE
Yellowfin grouper,2.95,2.75,2.7,2.3,Moderate,2,0.1238,0.8745,0.0017,0,Moderate,0.8745,FALSE
Yellowtail snapper,3,2.5,3.55,1.15,Moderate,2,0.4103,0.5897,0,0,Moderate,0.5897,TRUE
