"stock_name","n_3","n_2","n_1","n_0","n_ge_2","prop_ge_2","mean_score","sd_score","data_quality_rank"
"Spiny lobster",36,20,3,1,56,0.93,2.52,0.68,"High"
"Queen conch",37,16,6,0,53,0.9,2.53,0.68,"High"
"Mutton snapper",20,32,7,0,52,0.88,2.22,0.65,"High"
"Yellowtail snapper",33,19,8,0,52,0.87,2.42,0.72,"High"
"Dolphinfish",30,23,11,0,53,0.83,2.3,0.75,"High"
"Red hind",30,23,8,3,53,0.83,2.25,0.85,"High"
"Nassau grouper",27,25,11,1,52,0.81,2.22,0.79,"High"
"Long-spined sea urchin",23,24,13,0,47,0.78,2.17,0.76,"Moderate"
"Queen triggerfish",28,19,12,4,47,0.75,2.13,0.94,"Moderate"
"Hogfish",23,24,17,0,47,0.73,2.09,0.79,"Moderate"
"White mullet",16,28,11,5,44,0.73,1.92,0.89,"Moderate"
"King mackerel",6,39,18,1,45,0.7,1.78,0.63,"Moderate"
"Lane snapper",26,16,16,2,42,0.7,2.1,0.92,"Moderate"
"Stoplight parrotfish",26,16,12,9,42,0.67,1.94,1.09,"Moderate"
"Rainbow parrotfish",26,15,17,5,41,0.65,1.98,1.01,"Moderate"
"Gray angelfish",19,22,17,6,41,0.64,1.84,0.96,"Moderate"
"Silk snapper",6,30,14,6,36,0.64,1.64,0.82,"Moderate"
"Blue runner",8,30,24,0,38,0.61,1.74,0.68,"Moderate"
"Queen snapper",11,23,22,0,34,0.61,1.8,0.75,"Moderate"
"Red grouper",10,29,25,0,39,0.61,1.77,0.71,"Moderate"
"Misty grouper",3,32,24,1,35,0.58,1.62,0.61,"Moderate"
"Yellowfin grouper",9,27,24,4,36,0.56,1.64,0.8,"Moderate"
"Atlantic thread herring",12,19,29,0,31,0.52,1.72,0.78,"Moderate"
"Ballyhoo",11,17,28,4,28,0.47,1.58,0.87,"Poor"
"Sea cucumbers",1,25,25,9,26,0.43,1.3,0.74,"Poor"
