"stock_name","n_scorers","n_rows"
"Atlantic thread herring",4,15
"Ballyhoo",4,15
"Blue runner",4,16
"Dolphinfish",4,16
"Gray angelfish",4,16
"Hogfish",4,16
"King mackerel",4,16
"Lane snapper",4,15
"Long-spined sea urchin",4,15
"Misty grouper",4,15
"Mutton snapper",4,15
"Nassau grouper",4,16
"Queen conch",4,15
"Queen snapper",4,14
"Queen triggerfish",4,16
"Rainbow parrotfish",4,16
"Red grouper",4,16
"Red hind",4,16
"Sea cucumbers",4,15
"Silk snapper",4,14
"Spiny lobster",4,15
"Stoplight parrotfish",4,16
"White mullet",4,15
"Yellowfin grouper",4,16
"Yellowtail snapper",4,15
