"stock_name","n_positive","n_neutral","n_negative","n_tallies","n_reviewers","wt_avg","overall"
"Atlantic thread herring",4,7,5,16,4,-0.0625,"neutral"
"Ballyhoo",0,13,3,16,4,-0.1875,"neutral"
"Blue runner",4,8,4,16,4,0,"neutral"
"Dolphinfish",5,10,1,16,4,0.25,"neutral"
"Gray angelfish",1,7,8,16,4,-0.4375,"negative"
"Hogfish",1,7,8,16,4,-0.4375,"negative"
"King mackerel",1,6,9,16,4,-0.5,"negative"
"Lane snapper",0,7,9,16,4,-0.5625,"negative"
"Long-spined sea urchin",2,7,7,16,4,-0.3125,"neutral"
"Misty grouper",0,7,9,16,4,-0.5625,"negative"
"Mutton snapper",0,7,9,16,4,-0.5625,"negative"
"Nassau grouper",0,6,10,16,4,-0.625,"negative"
"Queen conch",0,5,11,16,4,-0.6875,"negative"
"Queen snapper",1,12,3,16,4,-0.125,"neutral"
"Queen triggerfish",0,5,11,16,4,-0.6875,"negative"
"Rainbow parrotfish",0,4,12,16,4,-0.75,"negative"
"Red grouper",1,5,10,16,4,-0.5625,"negative"
"Red hind",0,9,7,16,4,-0.4375,"negative"
"Sea cucumbers",1,8,7,16,4,-0.375,"negative"
"Silk snapper",0,14,2,16,4,-0.125,"neutral"
"Spiny lobster",2,8,6,16,4,-0.25,"neutral"
"Stoplight parrotfish",0,6,10,16,4,-0.625,"negative"
"White mullet",1,8,7,16,4,-0.375,"negative"
"Yellowfin grouper",0,4,12,16,4,-0.75,"negative"
"Yellowtail snapper",2,10,4,16,4,-0.125,"neutral"
