"stock_name","n_reviews","reviewers"
"Atlantic thread herring",4,"AA, BG, DB, RG"
"Ballyhoo",4,"AA, BG, JP, RG"
"Blue runner",4,"BG, DB, RA, WM"
"Dolphinfish",4,"AA, DB, RG, WM"
"Gray angelfish",4,"AK, ET, GR, RL"
"Hogfish",4,"AK, GR, MS, RL"
"King mackerel",4,"BG, RA, RG, WM"
"Lane snapper",4,"AA, ET, KO, RE"
"Long-spined sea urchin",4,"DB, JP, OT, SW"
"Misty grouper",4,"AA, ET, MS, SK"
"Mutton snapper",4,"KO, RE, SK, WM"
"Nassau grouper",4,"CZ, MS, OT, SK"
"Queen conch",4,"AK, BG, OT, RA"
"Queen snapper",4,"KO, RG, SW, WM"
"Queen triggerfish",4,"CZ, ET, GR, RL"
"Rainbow parrotfish",4,"CZ, GR, RE, RL"
"Red grouper",4,"MS, OT, RA, SK"
"Red hind",4,"CZ, MS, OT, SK"
"Sea cucumbers",4,"JP, OT, RA, SW"
"Silk snapper",4,"AK, KO, RE, RL"
"Spiny lobster",4,"AK, BG, DB, SW"
"Stoplight parrotfish",4,"CZ, GR, RE, RL"
"White mullet",4,"DB, JP, RG, WM"
"Yellowfin grouper",4,"CZ, MS, RA, SK"
"Yellowtail snapper",4,"AA, ET, KO, RE"
