"SourceFile","Scorer","stock_name","row_idx","Directional_effect","Directional_score"
"filecde058f95750.xlsx","AA","Atlantic thread herring",38,"Positive",1
"filecde058f95750.xlsx","AA","Atlantic thread herring",39,"Neutral",3
"filecde058f95750.xlsx","AA","Ballyhoo",39,"Neutral",4
"filecde058f95750.xlsx","AA","Dolphinfish",38,"Positive",1
"filecde058f95750.xlsx","AA","Dolphinfish",39,"Neutral",3
"filecde058f95750.xlsx","AA","Lane snapper",39,"Neutral",2
"filecde058f95750.xlsx","AA","Lane snapper",40,"Negative",2
"filecde058f95750.xlsx","AA","Misty grouper",39,"Neutral",2
"filecde058f95750.xlsx","AA","Misty grouper",40,"Negative",2
"filecde058f95750.xlsx","AA","Yellowtail snapper",38,"Positive",2
"filecde058f95750.xlsx","AA","Yellowtail snapper",39,"Neutral",2
"filecde04fdc5669.xlsx","AK","Gray angelfish",38,"Positive",1
"filecde04fdc5669.xlsx","AK","Gray angelfish",39,"Neutral",2
"filecde04fdc5669.xlsx","AK","Gray angelfish",40,"Negative",1
"filecde04fdc5669.xlsx","AK","Hogfish",39,"Neutral",2
"filecde04fdc5669.xlsx","AK","Hogfish",40,"Negative",2
"filecde04fdc5669.xlsx","AK","Queen conch",39,"Neutral",3
"filecde04fdc5669.xlsx","AK","Queen conch",40,"Negative",1
"filecde04fdc5669.xlsx","AK","Silk snapper",39,"Neutral",4
"filecde04fdc5669.xlsx","AK","Spiny lobster",39,"Neutral",4
"filecde04b98c62.xlsx","BG","Atlantic thread herring",38,"Positive",2
"filecde04b98c62.xlsx","BG","Atlantic thread herring",40,"Negative",2
"filecde04b98c62.xlsx","BG","Ballyhoo",39,"Neutral",3
"filecde04b98c62.xlsx","BG","Ballyhoo",40,"Negative",1
"filecde04b98c62.xlsx","BG","Blue runner",39,"Neutral",4
"filecde04b98c62.xlsx","BG","King mackerel",39,"Neutral",1
"filecde04b98c62.xlsx","BG","King mackerel",40,"Negative",3
"filecde04b98c62.xlsx","BG","Queen conch",40,"Negative",4
"filecde04b98c62.xlsx","BG","Spiny lobster",38,"Positive",1
"filecde04b98c62.xlsx","BG","Spiny lobster",40,"Negative",3
"filecde01f752d.xlsx","CZ","Nassau grouper",39,"Neutral",1
"filecde01f752d.xlsx","CZ","Nassau grouper",40,"Negative",3
"filecde01f752d.xlsx","CZ","Queen triggerfish",39,"Neutral",2
"filecde01f752d.xlsx","CZ","Queen triggerfish",40,"Negative",2
"filecde01f752d.xlsx","CZ","Rainbow parrotfish",39,"Neutral",1
"filecde01f752d.xlsx","CZ","Rainbow parrotfish",40,"Negative",3
"filecde01f752d.xlsx","CZ","Red hind",39,"Neutral",3
"filecde01f752d.xlsx","CZ","Red hind",40,"Negative",1
"filecde01f752d.xlsx","CZ","Stoplight parrotfish",39,"Neutral",3
"filecde01f752d.xlsx","CZ","Stoplight parrotfish",40,"Negative",1
"filecde01f752d.xlsx","CZ","Yellowfin grouper",39,"Neutral",1
"filecde01f752d.xlsx","CZ","Yellowfin grouper",40,"Negative",3
"filecde04e1b6ba8.xlsx","DB","Atlantic thread herring",38,"Positive",1
"filecde04e1b6ba8.xlsx","DB","Atlantic thread herring",39,"Neutral",2
"filecde04e1b6ba8.xlsx","DB","Atlantic thread herring",40,"Negative",1
"filecde04e1b6ba8.xlsx","DB","Blue runner",38,"Positive",2
"filecde04e1b6ba8.xlsx","DB","Blue runner",39,"Neutral",1
"filecde04e1b6ba8.xlsx","DB","Blue runner",40,"Negative",1
"filecde04e1b6ba8.xlsx","DB","Dolphinfish",38,"Positive",2
"filecde04e1b6ba8.xlsx","DB","Dolphinfish",39,"Neutral",2
"filecde04e1b6ba8.xlsx","DB","Long-spined sea urchin",38,"Positive",1
"filecde04e1b6ba8.xlsx","DB","Long-spined sea urchin",39,"Neutral",2
"filecde04e1b6ba8.xlsx","DB","Long-spined sea urchin",40,"Negative",1
"filecde04e1b6ba8.xlsx","DB","Spiny lobster",38,"Positive",1
"filecde04e1b6ba8.xlsx","DB","Spiny lobster",39,"Neutral",2
"filecde04e1b6ba8.xlsx","DB","Spiny lobster",40,"Negative",1
"filecde04e1b6ba8.xlsx","DB","White mullet",39,"Neutral",2
"filecde04e1b6ba8.xlsx","DB","White mullet",40,"Negative",2
"filecde06a5f691f.xlsx","ET","Gray angelfish",39,"Neutral",2
"filecde06a5f691f.xlsx","ET","Gray angelfish",40,"Negative",2
"filecde06a5f691f.xlsx","ET","Lane snapper",39,"Neutral",1
"filecde06a5f691f.xlsx","ET","Lane snapper",40,"Negative",3
"filecde06a5f691f.xlsx","ET","Misty grouper",39,"Neutral",2
"filecde06a5f691f.xlsx","ET","Misty grouper",40,"Negative",2
"filecde06a5f691f.xlsx","ET","Queen triggerfish",39,"Neutral",1
"filecde06a5f691f.xlsx","ET","Queen triggerfish",40,"Negative",3
"filecde06a5f691f.xlsx","ET","Yellowtail snapper",39,"Neutral",2
"filecde06a5f691f.xlsx","ET","Yellowtail snapper",40,"Negative",2
"filecde07a5e1a12.xlsx","GR","Gray angelfish",39,"Neutral",1
"filecde07a5e1a12.xlsx","GR","Gray angelfish",40,"Negative",3
"filecde07a5e1a12.xlsx","GR","Hogfish",39,"Neutral",1
"filecde07a5e1a12.xlsx","GR","Hogfish",40,"Negative",3
"filecde07a5e1a12.xlsx","GR","Queen triggerfish",39,"Neutral",1
"filecde07a5e1a12.xlsx","GR","Queen triggerfish",40,"Negative",3
"filecde07a5e1a12.xlsx","GR","Rainbow parrotfish",39,"Neutral",1
"filecde07a5e1a12.xlsx","GR","Rainbow parrotfish",40,"Negative",3
"filecde07a5e1a12.xlsx","GR","Stoplight parrotfish",39,"Neutral",1
"filecde07a5e1a12.xlsx","GR","Stoplight parrotfish",40,"Negative",3
"filecde010c82b39.xlsx","JP","Ballyhoo",39,"Neutral",4
"filecde010c82b39.xlsx","JP","Long-spined sea urchin",39,"Neutral",2
"filecde010c82b39.xlsx","JP","Long-spined sea urchin",40,"Negative",2
"filecde010c82b39.xlsx","JP","Sea cucumbers",38,"Positive",1
"filecde010c82b39.xlsx","JP","Sea cucumbers",39,"Neutral",2
"filecde010c82b39.xlsx","JP","Sea cucumbers",40,"Negative",1
"filecde010c82b39.xlsx","JP","White mullet",38,"Positive",1
"filecde010c82b39.xlsx","JP","White mullet",39,"Neutral",2
"filecde010c82b39.xlsx","JP","White mullet",40,"Negative",1
"filecde0107f59c6.xlsx","KO","Lane snapper",39,"Neutral",3
"filecde0107f59c6.xlsx","KO","Lane snapper",40,"Negative",1
"filecde0107f59c6.xlsx","KO","Mutton snapper",39,"Neutral",2
"filecde0107f59c6.xlsx","KO","Mutton snapper",40,"Negative",2
"filecde0107f59c6.xlsx","KO","Queen snapper",39,"Neutral",4
"filecde0107f59c6.xlsx","KO","Silk snapper",39,"Neutral",3
"filecde0107f59c6.xlsx","KO","Silk snapper",40,"Negative",1
"filecde0107f59c6.xlsx","KO","Yellowtail snapper",39,"Neutral",3
"filecde0107f59c6.xlsx","KO","Yellowtail snapper",40,"Negative",1
"filecde04e615dea.xlsx","MS","Hogfish",38,"Positive",1
"filecde04e615dea.xlsx","MS","Hogfish",39,"Neutral",2
"filecde04e615dea.xlsx","MS","Hogfish",40,"Negative",1
"filecde04e615dea.xlsx","MS","Misty grouper",39,"Neutral",2
"filecde04e615dea.xlsx","MS","Misty grouper",40,"Negative",2
"filecde04e615dea.xlsx","MS","Nassau grouper",39,"Neutral",2
"filecde04e615dea.xlsx","MS","Nassau grouper",40,"Negative",2
"filecde04e615dea.xlsx","MS","Red grouper",38,"Positive",1
"filecde04e615dea.xlsx","MS","Red grouper",39,"Neutral",2
"filecde04e615dea.xlsx","MS","Red grouper",40,"Negative",1
"filecde04e615dea.xlsx","MS","Red hind",39,"Neutral",2
"filecde04e615dea.xlsx","MS","Red hind",40,"Negative",2
"filecde04e615dea.xlsx","MS","Yellowfin grouper",39,"Neutral",2
"filecde04e615dea.xlsx","MS","Yellowfin grouper",40,"Negative",2
"filecde05615e9a.xlsx","OT","Long-spined sea urchin",38,"Positive",1
"filecde05615e9a.xlsx","OT","Long-spined sea urchin",39,"Neutral",2
"filecde05615e9a.xlsx","OT","Long-spined sea urchin",40,"Negative",1
"filecde05615e9a.xlsx","OT","Nassau grouper",39,"Neutral",2
"filecde05615e9a.xlsx","OT","Nassau grouper",40,"Negative",2
"filecde05615e9a.xlsx","OT","Queen conch",39,"Neutral",2
"filecde05615e9a.xlsx","OT","Queen conch",40,"Negative",2
"filecde05615e9a.xlsx","OT","Red grouper",39,"Neutral",2
"filecde05615e9a.xlsx","OT","Red grouper",40,"Negative",2
"filecde05615e9a.xlsx","OT","Red hind",39,"Neutral",3
"filecde05615e9a.xlsx","OT","Red hind",40,"Negative",1
"filecde05615e9a.xlsx","OT","Sea cucumbers",39,"Neutral",3
"filecde05615e9a.xlsx","OT","Sea cucumbers",40,"Negative",1
"filecde050dd5293.xlsx","RA","Blue runner",39,"Neutral",1
"filecde050dd5293.xlsx","RA","Blue runner",40,"Negative",3
"filecde050dd5293.xlsx","RA","King mackerel",40,"Negative",4
"filecde050dd5293.xlsx","RA","Queen conch",40,"Negative",4
"filecde050dd5293.xlsx","RA","Red grouper",40,"Negative",4
"filecde050dd5293.xlsx","RA","Sea cucumbers",39,"Neutral",2
"filecde050dd5293.xlsx","RA","Sea cucumbers",40,"Negative",2
"filecde050dd5293.xlsx","RA","Yellowfin grouper",40,"Negative",4
"filecde0212c729c.xlsx","RE","Lane snapper",39,"Neutral",1
"filecde0212c729c.xlsx","RE","Lane snapper",40,"Negative",3
"filecde0212c729c.xlsx","RE","Mutton snapper",39,"Neutral",2
"filecde0212c729c.xlsx","RE","Mutton snapper",40,"Negative",2
"filecde0212c729c.xlsx","RE","Rainbow parrotfish",39,"Neutral",1
"filecde0212c729c.xlsx","RE","Rainbow parrotfish",40,"Negative",3
"filecde0212c729c.xlsx","RE","Silk snapper",39,"Neutral",3
