"stock_name","n_reviews","reviewers"
"Atlantic thread herring",4,"AAcosta, BGlazer, DBehringer, RGarciaSais"
"Ballyhoo",4,"AAcosta, BGlazer, JPatterson, RGarciaSais"
"Dolphinfish",4,"AAcosta, DBehringer, RGarciaSais, WMerten"
"Gray angelfish",4,"2025 RLopez, AKough, ETuohy, GRodrigeuz"
"Hogfish",4,"2025 RLopez, AKough, GRodrigeuz, MScharer"
"King mackerel",4,"BGlazer, RAppeldoorn, RGarciaSais, WMerten"
"Lane snapper",4,"AAcosta, ETuohy, KOverly, REsteves"
"Long-spined sea urchin",4,"DBehringer, JPatterson, OTzadik, SWilliams"
"Misty grouper",4,"AAcosta, ETuohy, MScharer, SKadison"
"Mutton snapper",4,"KOverly, REsteves, SKadison, WMerten"
"Nassau grouper",4,"CZayas, MScharer, OTzadik, SKadison"
"Queen conch",4,"AKough, BGlazer, OTzadik, RAppeldoorn"
"Queen snapper",4,"KOverly, RGarciaSais, SWilliams, WMerten"
"Queen triggerfish",4,"2025 RLopez, CZayas, ETuohy, GRodrigeuz"
"Rainbow parrotfish",4,"2025 RLopez, CZayas, GRodrigeuz, REsteves"
"Red grouper",4,"MScharer, OTzadik, RAppeldoorn, SKadison"
"Red hind",4,"CZayas, MScharer, OTzadik, SKadison"
"Sea cucumbers",4,"JPatterson, OTzadik, RAppeldoorn, SWilliams"
"Silk snapper",4,"2025 RLopez, AKough, KOverly, REsteves"
"Stoplight parrotfish",4,"2025 RLopez, CZayas, GRodrigeuz, REsteves"
"White mullet",4,"DBehringer, JPatterson, RGarciaSais, WMerten"
"Yellowfin grouper",4,"CZayas, MScharer, RAppeldoorn, SKadison"
"Yellowtail snapper",4,"AAcosta, ETuohy, KOverly, REsteves"
"Blue runner",3,"DBehringer, RAppeldoorn, WMerten"
"Spiny lobster",3,"AKough, DBehringer, SWilliams"
