"stock_name","quantitative_exposure_factor","full_names","spatial_extent","attribute_score"
"Atlantic Herring","bs","Bottom salinity","Western Atlantic",3.102
"Atlantic Herring","bs","Bottom salinity","Caribbean Sea",3.361
"Atlantic Herring","bs","Bottom salinity","U.S. Caribbean",2.238
"Atlantic Herring","bt","Bottom temperature","Western Atlantic",3.865
"Atlantic Herring","bt","Bottom temperature","Caribbean Sea",3.853
"Atlantic Herring","bt","Bottom temperature","U.S. Caribbean",3.571
"Atlantic Herring","chl","Chlorophyll-a concentration","Western Atlantic",1.366
"Atlantic Herring","chl","Chlorophyll-a concentration","Caribbean Sea",1.382
"Atlantic Herring","chl","Chlorophyll-a concentration","U.S. Caribbean",1.048
"Atlantic Herring","mld","Mixed layer depth","Western Atlantic",1.078
"Atlantic Herring","mld","Mixed layer depth","Caribbean Sea",1.02
"Atlantic Herring","mld","Mixed layer depth","U.S. Caribbean",1
"Atlantic Herring","msstg","Mean sea surface temperature gradient","Western Atlantic",1.538
"Atlantic Herring","msstg","Mean sea surface temperature gradient","Caribbean Sea",1.49
"Atlantic Herring","msstg","Mean sea surface temperature gradient","U.S. Caribbean",1.857
"Atlantic Herring","o200","Oxygen at 200m","Western Atlantic",1.711
"Atlantic Herring","o200","Oxygen at 200m","Caribbean Sea",1.865
"Atlantic Herring","o200","Oxygen at 200m","U.S. Caribbean",2.952
"Atlantic Herring","ph","Surface pH","Western Atlantic",3.981
"Atlantic Herring","ph","Surface pH","Caribbean Sea",3.992
"Atlantic Herring","ph","Surface pH","U.S. Caribbean",4
"Atlantic Herring","pp","Primary production","Western Atlantic",1.175
"Atlantic Herring","pp","Primary production","Caribbean Sea",1.142
"Atlantic Herring","pp","Primary production","U.S. Caribbean",1
"Atlantic Herring","precip","Precipitation","Western Atlantic",1.129
"Atlantic Herring","precip","Precipitation","Caribbean Sea",1.125
"Atlantic Herring","precip","Precipitation","U.S. Caribbean",1
"Atlantic Herring","sso","Sea surface oxygen","Western Atlantic",3.847
"Atlantic Herring","sso","Sea surface oxygen","Caribbean Sea",3.943
"Atlantic Herring","sso","Sea surface oxygen","U.S. Caribbean",4
"Atlantic Herring","sss","Sea surface salinity","Western Atlantic",3.074
"Atlantic Herring","sss","Sea surface salinity","Caribbean Sea",3.541
"Atlantic Herring","sss","Sea surface salinity","U.S. Caribbean",3.143
"Atlantic Herring","sst","Sea surface temperature","Western Atlantic",3.986
"Atlantic Herring","sst","Sea surface temperature","Caribbean Sea",3.997
"Atlantic Herring","sst","Sea surface temperature","U.S. Caribbean",4
"Atlantic Herring","swsm","Surface wind speed magnitude","Western Atlantic",1.169
"Atlantic Herring","swsm","Surface wind speed magnitude","Caribbean Sea",1.215
"Atlantic Herring","swsm","Surface wind speed magnitude","U.S. Caribbean",1
"Ballyhoo","bs","Bottom salinity","Western Atlantic",3.178
"Ballyhoo","bs","Bottom salinity","Caribbean Sea",3.304
"Ballyhoo","bs","Bottom salinity","U.S. Caribbean",2.208
"Ballyhoo","bt","Bottom temperature","Western Atlantic",3.857
"Ballyhoo","bt","Bottom temperature","Caribbean Sea",3.829
"Ballyhoo","bt","Bottom temperature","U.S. Caribbean",3.5
"Ballyhoo","chl","Chlorophyll-a concentration","Western Atlantic",1.313
"Ballyhoo","chl","Chlorophyll-a concentration","Caribbean Sea",1.332
"Ballyhoo","chl","Chlorophyll-a concentration","U.S. Caribbean",1.042
"Ballyhoo","mld","Mixed layer depth","Western Atlantic",1.044
"Ballyhoo","mld","Mixed layer depth","Caribbean Sea",1.016
"Ballyhoo","mld","Mixed layer depth","U.S. Caribbean",1
"Ballyhoo","msstg","Mean sea surface temperature gradient","Western Atlantic",1.474
"Ballyhoo","msstg","Mean sea surface temperature gradient","Caribbean Sea",1.444
"Ballyhoo","msstg","Mean sea surface temperature gradient","U.S. Caribbean",1.792
"Ballyhoo","o200","Oxygen at 200m","Western Atlantic",1.691
"Ballyhoo","o200","Oxygen at 200m","Caribbean Sea",1.824
"Ballyhoo","o200","Oxygen at 200m","U.S. Caribbean",2.917
"Ballyhoo","ph","Surface pH","Western Atlantic",3.984
"Ballyhoo","ph","Surface pH","Caribbean Sea",3.993
"Ballyhoo","ph","Surface pH","U.S. Caribbean",4
"Ballyhoo","pp","Primary production","Western Atlantic",1.141
"Ballyhoo","pp","Primary production","Caribbean Sea",1.111
"Ballyhoo","pp","Primary production","U.S. Caribbean",1
"Ballyhoo","precip","Precipitation","Western Atlantic",1.122
"Ballyhoo","precip","Precipitation","Caribbean Sea",1.118
"Ballyhoo","precip","Precipitation","U.S. Caribbean",1
"Ballyhoo","sso","Sea surface oxygen","Western Atlantic",3.891
"Ballyhoo","sso","Sea surface oxygen","Caribbean Sea",3.955
"Ballyhoo","sso","Sea surface oxygen","U.S. Caribbean",4
"Ballyhoo","sss","Sea surface salinity","Western Atlantic",3.245
"Ballyhoo","sss","Sea surface salinity","Caribbean Sea",3.539
"Ballyhoo","sss","Sea surface salinity","U.S. Caribbean",3.125
"Ballyhoo","sst","Sea surface temperature","Western Atlantic",3.996
"Ballyhoo","sst","Sea surface temperature","Caribbean Sea",3.998
"Ballyhoo","sst","Sea surface temperature","U.S. Caribbean",4
"Ballyhoo","swsm","Surface wind speed magnitude","Western Atlantic",1.142
"Ballyhoo","swsm","Surface wind speed magnitude","Caribbean Sea",1.183
"Ballyhoo","swsm","Surface wind speed magnitude","U.S. Caribbean",1
"Blue Runner","bs","Bottom salinity","Western Atlantic",3.035
"Blue Runner","bs","Bottom salinity","Caribbean Sea",3.361
"Blue Runner","bs","Bottom salinity","U.S. Caribbean",2.238
"Blue Runner","bt","Bottom temperature","Western Atlantic",3.847
"Blue Runner","bt","Bottom temperature","Caribbean Sea",3.853
"Blue Runner","bt","Bottom temperature","U.S. Caribbean",3.571
"Blue Runner","chl","Chlorophyll-a concentration","Western Atlantic",1.386
"Blue Runner","chl","Chlorophyll-a concentration","Caribbean Sea",1.382
"Blue Runner","chl","Chlorophyll-a concentration","U.S. Caribbean",1.048
"Blue Runner","mld","Mixed layer depth","Western Atlantic",1.095
"Blue Runner","mld","Mixed layer depth","Caribbean Sea",1.02
"Blue Runner","mld","Mixed layer depth","U.S. Caribbean",1
"Blue Runner","msstg","Mean sea surface temperature gradient","Western Atlantic",1.566
"Blue Runner","msstg","Mean sea surface temperature gradient","Caribbean Sea",1.49
"Blue Runner","msstg","Mean sea surface temperature gradient","U.S. Caribbean",1.857
"Blue Runner","o200","Oxygen at 200m","Western Atlantic",1.718
"Blue Runner","o200","Oxygen at 200m","Caribbean Sea",1.865
"Blue Runner","o200","Oxygen at 200m","U.S. Caribbean",2.952
"Blue Runner","ph","Surface pH","Western Atlantic",3.981
"Blue Runner","ph","Surface pH","Caribbean Sea",3.992
"Blue Runner","ph","Surface pH","U.S. Caribbean",4
"Blue Runner","pp","Primary production","Western Atlantic",1.182
"Blue Runner","pp","Primary production","Caribbean Sea",1.142
"Blue Runner","pp","Primary production","U.S. Caribbean",1
"Blue Runner","precip","Precipitation","Western Atlantic",1.132
"Blue Runner","precip","Precipitation","Caribbean Sea",1.125
"Blue Runner","precip","Precipitation","U.S. Caribbean",1
"Blue Runner","sso","Sea surface oxygen","Western Atlantic",3.833
"Blue Runner","sso","Sea surface oxygen","Caribbean Sea",3.943
"Blue Runner","sso","Sea surface oxygen","U.S. Caribbean",4
"Blue Runner","sss","Sea surface salinity","Western Atlantic",3.012
"Blue Runner","sss","Sea surface salinity","Caribbean Sea",3.541
"Blue Runner","sss","Sea surface salinity","U.S. Caribbean",3.143
"Blue Runner","sst","Sea surface temperature","Western Atlantic",3.978
"Blue Runner","sst","Sea surface temperature","Caribbean Sea",3.997
"Blue Runner","sst","Sea surface temperature","U.S. Caribbean",4
"Blue Runner","swsm","Surface wind speed magnitude","Western Atlantic",1.166
"Blue Runner","swsm","Surface wind speed magnitude","Caribbean Sea",1.215
"Blue Runner","swsm","Surface wind speed magnitude","U.S. Caribbean",1
"Diadema","bs","Bottom salinity","Western Atlantic",3.149
"Diadema","bs","Bottom salinity","Caribbean Sea",3.359
"Diadema","bs","Bottom salinity","U.S. Caribbean",2.238
"Diadema","bt","Bottom temperature","Western Atlantic",3.866
"Diadema","bt","Bottom temperature","Caribbean Sea",3.854
"Diadema","bt","Bottom temperature","U.S. Caribbean",3.571
"Diadema","chl","Chlorophyll-a concentration","Western Atlantic",1.399
"Diadema","chl","Chlorophyll-a concentration","Caribbean Sea",1.382
"Diadema","chl","Chlorophyll-a concentration","U.S. Caribbean",1.048
"Diadema","mld","Mixed layer depth","Western Atlantic",1.04
"Diadema","mld","Mixed layer depth","Caribbean Sea",1.025
"Diadema","mld","Mixed layer depth","U.S. Caribbean",1
"Diadema","msstg","Mean sea surface temperature gradient","Western Atlantic",1.491
"Diadema","msstg","Mean sea surface temperature gradient","Caribbean Sea",1.49
"Diadema","msstg","Mean sea surface temperature gradient","U.S. Caribbean",1.857
"Diadema","o200","Oxygen at 200m","Western Atlantic",1.739
"Diadema","o200","Oxygen at 200m","Caribbean Sea",1.865
"Diadema","o200","Oxygen at 200m","U.S. Caribbean",2.952
"Diadema","ph","Surface pH","Western Atlantic",3.978
"Diadema","ph","Surface pH","Caribbean Sea",3.992
"Diadema","ph","Surface pH","U.S. Caribbean",4
"Diadema","pp","Primary production","Western Atlantic",1.176
"Diadema","pp","Primary production","Caribbean Sea",1.146
"Diadema","pp","Primary production","U.S. Caribbean",1
"Diadema","precip","Precipitation","Western Atlantic",1.149
"Diadema","precip","Precipitation","Caribbean Sea",1.124
"Diadema","precip","Precipitation","U.S. Caribbean",1
"Diadema","sso","Sea surface oxygen","Western Atlantic",3.874
"Diadema","sso","Sea surface oxygen","Caribbean Sea",3.944
"Diadema","sso","Sea surface oxygen","U.S. Caribbean",4
"Diadema","sss","Sea surface salinity","Western Atlantic",3.146
"Diadema","sss","Sea surface salinity","Caribbean Sea",3.535
"Diadema","sss","Sea surface salinity","U.S. Caribbean",3.143
"Diadema","sst","Sea surface temperature","Western Atlantic",3.998
"Diadema","sst","Sea surface temperature","Caribbean Sea",3.997
"Diadema","sst","Sea surface temperature","U.S. Caribbean",4
"Diadema","swsm","Surface wind speed magnitude","Western Atlantic",1.179
"Diadema","swsm","Surface wind speed magnitude","Caribbean Sea",1.214
"Diadema","swsm","Surface wind speed magnitude","U.S. Caribbean",1
"Dolphinfish","bs","Bottom salinity","Western Atlantic",3.178
"Dolphinfish","bs","Bottom salinity","Caribbean Sea",3.213
"Dolphinfish","bs","Bottom salinity","U.S. Caribbean",2.208
"Dolphinfish","bt","Bottom temperature","Western Atlantic",3.428
"Dolphinfish","bt","Bottom temperature","Caribbean Sea",3.617
"Dolphinfish","bt","Bottom temperature","U.S. Caribbean",3.5
"Dolphinfish","chl","Chlorophyll-a concentration","Western Atlantic",1.388
