"stock_name","quantitative_exposure_factor","full_names","spatial_extent","attribute_score","tally_L","tally_M","tally_H","tally_VH","n_tallies"
"Atlantic Herring","bs","Bottom salinity","Western Atlantic",3.102,56,132,71,301,560
"Atlantic Herring","bs","Bottom salinity","Caribbean Sea",3.361,13,65,56,218,352
"Atlantic Herring","bs","Bottom salinity","U.S. Caribbean",2.238,0,16,5,0,21
"Atlantic Herring","bt","Bottom temperature","Western Atlantic",3.865,0,21,36,522,579
"Atlantic Herring","bt","Bottom temperature","Caribbean Sea",3.853,0,17,18,318,353
"Atlantic Herring","bt","Bottom temperature","U.S. Caribbean",3.571,0,1,7,13,21
"Atlantic Herring","chl","Chlorophyll-a concentration","Western Atlantic",1.366,365,201,2,1,569
"Atlantic Herring","chl","Chlorophyll-a concentration","Caribbean Sea",1.382,220,132,0,1,353
"Atlantic Herring","chl","Chlorophyll-a concentration","U.S. Caribbean",1.048,20,1,0,0,21
"Atlantic Herring","mld","Mixed layer depth","Western Atlantic",1.078,533,45,0,0,578
"Atlantic Herring","mld","Mixed layer depth","Caribbean Sea",1.02,346,7,0,0,353
"Atlantic Herring","mld","Mixed layer depth","U.S. Caribbean",1,21,0,0,0,21
"Atlantic Herring","msstg","Mean sea surface temperature gradient","Western Atlantic",1.538,280,230,5,15,530
"Atlantic Herring","msstg","Mean sea surface temperature gradient","Caribbean Sea",1.49,195,132,2,10,339
"Atlantic Herring","msstg","Mean sea surface temperature gradient","U.S. Caribbean",1.857,3,18,0,0,21
"Atlantic Herring","o200","Oxygen at 200m","Western Atlantic",1.711,227,219,60,9,515
"Atlantic Herring","o200","Oxygen at 200m","Caribbean Sea",1.865,124,148,60,9,341
"Atlantic Herring","o200","Oxygen at 200m","U.S. Caribbean",2.952,0,3,16,2,21
"Atlantic Herring","ph","Surface pH","Western Atlantic",3.981,1,4,0,572,577
"Atlantic Herring","ph","Surface pH","Caribbean Sea",3.992,1,0,0,352,353
"Atlantic Herring","ph","Surface pH","U.S. Caribbean",4,0,0,0,21,21
"Atlantic Herring","pp","Primary production","Western Atlantic",1.175,480,94,2,1,577
"Atlantic Herring","pp","Primary production","Caribbean Sea",1.142,303,50,0,0,353
"Atlantic Herring","pp","Primary production","U.S. Caribbean",1,21,0,0,0,21
"Atlantic Herring","precip","Precipitation","Western Atlantic",1.129,506,75,0,0,581
"Atlantic Herring","precip","Precipitation","Caribbean Sea",1.125,309,44,0,0,353
"Atlantic Herring","precip","Precipitation","U.S. Caribbean",1,21,0,0,0,21
"Atlantic Herring","sso","Sea surface oxygen","Western Atlantic",3.847,4,23,30,520,577
"Atlantic Herring","sso","Sea surface oxygen","Caribbean Sea",3.943,2,6,2,343,353
"Atlantic Herring","sso","Sea surface oxygen","U.S. Caribbean",4,0,0,0,21,21
"Atlantic Herring","sss","Sea surface salinity","Western Atlantic",3.074,84,114,56,325,579
"Atlantic Herring","sss","Sea surface salinity","Caribbean Sea",3.541,4,54,42,253,353
"Atlantic Herring","sss","Sea surface salinity","U.S. Caribbean",3.143,0,4,10,7,21
"Atlantic Herring","sst","Sea surface temperature","Western Atlantic",3.986,0,0,8,573,581
"Atlantic Herring","sst","Sea surface temperature","Caribbean Sea",3.997,0,0,1,352,353
"Atlantic Herring","sst","Sea surface temperature","U.S. Caribbean",4,0,0,0,21,21
"Atlantic Herring","swsm","Surface wind speed magnitude","Western Atlantic",1.169,487,91,2,1,581
"Atlantic Herring","swsm","Surface wind speed magnitude","Caribbean Sea",1.215,279,73,0,1,353
"Atlantic Herring","swsm","Surface wind speed magnitude","U.S. Caribbean",1,21,0,0,0,21
"Ballyhoo","bs","Bottom salinity","Western Atlantic",3.178,45,161,88,369,663
"Ballyhoo","bs","Bottom salinity","Caribbean Sea",3.304,13,100,73,262,448
"Ballyhoo","bs","Bottom salinity","U.S. Caribbean",2.208,0,19,5,0,24
"Ballyhoo","bt","Bottom temperature","Western Atlantic",3.857,0,24,51,615,690
"Ballyhoo","bt","Bottom temperature","Caribbean Sea",3.829,0,22,33,394,449
"Ballyhoo","bt","Bottom temperature","U.S. Caribbean",3.5,0,1,10,13,24
"Ballyhoo","chl","Chlorophyll-a concentration","Western Atlantic",1.313,472,206,2,1,681
"Ballyhoo","chl","Chlorophyll-a concentration","Caribbean Sea",1.332,302,146,0,1,449
"Ballyhoo","chl","Chlorophyll-a concentration","U.S. Caribbean",1.042,23,1,0,0,24
"Ballyhoo","mld","Mixed layer depth","Western Atlantic",1.044,659,30,0,0,689
"Ballyhoo","mld","Mixed layer depth","Caribbean Sea",1.016,442,7,0,0,449
"Ballyhoo","mld","Mixed layer depth","U.S. Caribbean",1,24,0,0,0,24
"Ballyhoo","msstg","Mean sea surface temperature gradient","Western Atlantic",1.474,372,252,4,15,643
"Ballyhoo","msstg","Mean sea surface temperature gradient","Caribbean Sea",1.444,264,159,2,10,435
"Ballyhoo","msstg","Mean sea surface temperature gradient","U.S. Caribbean",1.792,5,19,0,0,24
"Ballyhoo","o200","Oxygen at 200m","Western Atlantic",1.691,278,274,66,9,627
"Ballyhoo","o200","Oxygen at 200m","Caribbean Sea",1.824,161,201,66,9,437
"Ballyhoo","o200","Oxygen at 200m","U.S. Caribbean",2.917,0,4,18,2,24
"Ballyhoo","ph","Surface pH","Western Atlantic",3.984,1,4,0,684,689
"Ballyhoo","ph","Surface pH","Caribbean Sea",3.993,1,0,0,448,449
