"stock_name","tally_neg","tally_neut","tally_pos","n_scorers","n_tallies"
"Atlantic Herring",5,7,4,4,16
"Ballyhoo",3,13,0,4,16
"Blue Runner",4,8,4,4,16
"Diadema",7,7,2,4,16
"Dolphinfish",1,10,5,4,16
"Gray Angelfish",8,7,1,4,16
"Hogfish",8,7,1,4,16
"King Mackerel",9,6,1,4,16
"Lane Snapper",9,7,0,4,16
"Misty Grouper",9,7,0,4,16
"Mutton Snapper",9,7,0,4,16
"Nassau Grouper",10,6,0,4,16
"Queen Conch",11,5,0,4,16
"Queen Triggerfish",11,5,0,4,16
"Queen snapper",3,12,1,4,16
"Rainbow Parrotfish",12,4,0,4,16
"Red Grouper",10,5,1,4,16
"Redhind",7,9,0,4,16
"Sea Cucumber",7,8,1,4,16
"Silk Snapper",2,14,0,4,16
"Spiny Lobster",6,8,2,4,16
"Stoplight Parrotfish",10,6,0,4,16
"White Mullet",7,8,1,4,16
"Yellowfin Grouper",12,4,0,4,16
"Yellowtail Snapper",4,10,2,4,16
