"stock_name","attribute_name","tally_L","tally_M","tally_H","tally_VH","n_scorers","n_tallies"
"Atlantic Herring","Adult mobility",10,9,1,0,4,20
"Atlantic Herring","Complexity in reproductive strategy",12,8,0,0,4,20
"Atlantic Herring","Genetic diversity",17,3,0,0,4,20
"Atlantic Herring","Habitat specificity",10,6,4,0,4,20
"Atlantic Herring","Mobility and dispersal or early life stages",5,9,6,0,4,20
"Atlantic Herring","Other stressors",8,6,6,0,4,20
"Atlantic Herring","Population growth rate",17,3,0,0,4,20
"Atlantic Herring","Predation and competition dynamics",6,9,5,0,4,20
"Atlantic Herring","Prey specificity",5,9,6,0,4,20
"Atlantic Herring","Spawning characteristics",2,15,3,0,4,20
"Atlantic Herring","Species range",10,5,5,0,4,20
"Atlantic Herring","Specificity in early life history requirements",5,8,7,0,4,20
"Atlantic Herring","Stock Size Status",10,6,4,0,4,20
"Atlantic Herring","Tolerance to ocean acidification",14,3,3,0,4,20
"Ballyhoo","Adult mobility",9,11,0,0,4,20
"Ballyhoo","Complexity in reproductive strategy",9,9,2,0,4,20
"Ballyhoo","Genetic diversity",18,2,0,0,4,20
"Ballyhoo","Habitat specificity",16,4,0,0,4,20
"Ballyhoo","Mobility and dispersal or early life stages",6,7,7,0,4,20
"Ballyhoo","Other stressors",4,10,6,0,4,20
"Ballyhoo","Population growth rate",17,3,0,0,4,20
"Ballyhoo","Predation and competition dynamics",1,14,5,0,4,20
"Ballyhoo","Prey specificity",14,6,0,0,4,20
"Ballyhoo","Spawning characteristics",8,7,5,0,4,20
"Ballyhoo","Species range",7,10,3,0,4,20
"Ballyhoo","Specificity in early life history requirements",2,9,8,1,4,20
"Ballyhoo","Stock Size Status",2,9,9,0,4,20
"Ballyhoo","Tolerance to ocean acidification",19,1,0,0,4,20
"Blue Runner","Adult mobility",14,5,1,0,4,20
"Blue Runner","Complexity in reproductive strategy",17,3,0,0,4,20
"Blue Runner","Genetic diversity",19,1,0,0,4,20
"Blue Runner","Habitat specificity",15,5,0,0,4,20
"Blue Runner","Mobility and dispersal or early life stages",11,9,0,0,4,20
"Blue Runner","Other stressors",15,5,0,0,4,20
"Blue Runner","Population growth rate",10,9,1,0,4,20
"Blue Runner","Predation and competition dynamics",4,12,4,0,4,20
"Blue Runner","Prey specificity",9,11,0,0,4,20
"Blue Runner","Spawning characteristics",10,6,4,0,4,20
"Blue Runner","Species range",11,5,3,1,4,20
"Blue Runner","Specificity in early life history requirements",6,7,6,1,4,20
"Blue Runner","Stock Size Status",12,8,0,0,4,20
"Blue Runner","Tolerance to ocean acidification",14,5,1,0,4,20
"Diadema","Adult mobility",0,9,11,0,4,20
"Diadema","Complexity in reproductive strategy",1,4,8,7,4,20
"Diadema","Genetic diversity",0,3,9,8,4,20
"Diadema","Habitat specificity",7,6,3,4,4,20
"Diadema","Mobility and dispersal or early life stages",10,10,0,0,4,20
"Diadema","Other stressors",2,3,4,11,4,20
"Diadema","Population growth rate",9,7,3,1,4,20
"Diadema","Predation and competition dynamics",4,4,7,5,4,20
"Diadema","Prey specificity",14,5,1,0,4,20
"Diadema","Spawning characteristics",7,9,3,1,4,20
"Diadema","Species range",14,5,1,0,4,20
"Diadema","Specificity in early life history requirements",2,6,6,6,4,20
"Diadema","Stock Size Status",10,5,4,1,4,20
"Diadema","Tolerance to ocean acidification",0,1,6,13,4,20
"Dolphinfish","Adult mobility",15,5,0,0,4,20
"Dolphinfish","Complexity in reproductive strategy",9,7,4,0,4,20
"Dolphinfish","Genetic diversity",19,1,0,0,4,20
"Dolphinfish","Habitat specificity",7,9,4,0,4,20
"Dolphinfish","Mobility and dispersal or early life stages",9,9,2,0,4,20
"Dolphinfish","Other stressors",14,6,0,0,4,20
"Dolphinfish","Population growth rate",18,2,0,0,4,20
"Dolphinfish","Predation and competition dynamics",4,10,6,0,4,20
"Dolphinfish","Prey specificity",16,4,0,0,4,20
"Dolphinfish","Spawning characteristics",15,5,0,0,4,20
"Dolphinfish","Species range",10,3,4,3,4,20
"Dolphinfish","Specificity in early life history requirements",11,9,0,0,4,20
"Dolphinfish","Stock Size Status",11,8,1,0,4,20
"Dolphinfish","Tolerance to ocean acidification",20,0,0,0,4,20
"Gray Angelfish","Adult mobility",0,3,10,7,4,20
"Gray Angelfish","Complexity in reproductive strategy",10,3,5,2,4,20
"Gray Angelfish","Genetic diversity",3,14,3,0,4,20
"Gray Angelfish","Habitat specificity",1,2,14,3,4,20
"Gray Angelfish","Mobility and dispersal or early life stages",4,11,4,1,4,20
"Gray Angelfish","Other stressors",4,10,3,3,4,20
"Gray Angelfish","Population growth rate",3,8,7,2,4,20
"Gray Angelfish","Predation and competition dynamics",9,6,5,0,4,20
"Gray Angelfish","Prey specificity",7,7,5,1,4,20
"Gray Angelfish","Spawning characteristics",0,6,8,6,4,20
"Gray Angelfish","Species range",8,6,5,1,4,20
"Gray Angelfish","Specificity in early life history requirements",1,11,7,1,4,20
"Gray Angelfish","Stock Size Status",9,6,4,1,4,20
"Gray Angelfish","Tolerance to ocean acidification",6,12,2,0,4,20
"Hogfish","Adult mobility",0,7,4,9,4,20
"Hogfish","Complexity in reproductive strategy",13,3,1,3,4,20
"Hogfish","Genetic diversity",2,3,7,8,4,20
"Hogfish","Habitat specificity",4,6,5,5,4,20
"Hogfish","Mobility and dispersal or early life stages",0,12,7,1,4,20
"Hogfish","Other stressors",10,6,4,0,4,20
"Hogfish","Population growth rate",2,9,7,2,4,20
"Hogfish","Predation and competition dynamics",3,13,4,0,4,20
"Hogfish","Prey specificity",2,10,2,6,4,20
"Hogfish","Spawning characteristics",1,8,9,2,4,20
"Hogfish","Species range",11,3,5,1,4,20
"Hogfish","Specificity in early life history requirements",2,10,6,2,4,20
"Hogfish","Stock Size Status",8,8,2,2,4,20
"Hogfish","Tolerance to ocean acidification",2,11,6,1,4,20
"King Mackerel","Adult mobility",8,9,3,0,4,20
"King Mackerel","Complexity in reproductive strategy",14,4,2,0,4,20
"King Mackerel","Genetic diversity",12,6,2,0,4,20
"King Mackerel","Habitat specificity",12,5,3,0,4,20
"King Mackerel","Mobility and dispersal or early life stages",2,7,11,0,4,20
"King Mackerel","Other stressors",12,5,3,0,4,20
"King Mackerel","Population growth rate",13,5,2,0,4,20
"King Mackerel","Predation and competition dynamics",7,11,2,0,4,20
"King Mackerel","Prey specificity",9,9,2,0,4,20
"King Mackerel","Spawning characteristics",2,8,10,0,4,20
"King Mackerel","Species range",0,7,8,5,4,20
"King Mackerel","Specificity in early life history requirements",0,7,11,2,4,20
"King Mackerel","Stock Size Status",6,9,5,0,4,20
"King Mackerel","Tolerance to ocean acidification",7,9,4,0,4,20
"Lane Snapper","Adult mobility",0,19,1,0,4,20
"Lane Snapper","Complexity in reproductive strategy",1,9,5,5,4,20
"Lane Snapper","Genetic diversity",6,8,6,0,4,20
"Lane Snapper","Habitat specificity",4,9,5,2,4,20
"Lane Snapper","Mobility and dispersal or early life stages",9,11,0,0,4,20
"Lane Snapper","Other stressors",0,9,6,5,4,20
"Lane Snapper","Population growth rate",0,7,12,1,4,20
"Lane Snapper","Predation and competition dynamics",1,12,7,0,4,20
"Lane Snapper","Prey specificity",8,11,1,0,4,20
"Lane Snapper","Spawning characteristics",8,2,10,0,4,20
"Lane Snapper","Species range",16,4,0,0,4,20
"Lane Snapper","Specificity in early life history requirements",0,12,7,1,4,20
"Lane Snapper","Stock Size Status",2,10,8,0,4,20
"Lane Snapper","Tolerance to ocean acidification",0,4,14,2,4,20
"Misty Grouper","Adult mobility",0,8,10,2,4,20
"Misty Grouper","Complexity in reproductive strategy",0,4,7,9,4,20
"Misty Grouper","Genetic diversity",0,6,11,3,4,20
