stock_name,n_scorers,scorers
Atlantic thread herring,4,"AAcosta, BGlazer, DBehringer, RGarciaSais"
Ballyhoo,4,"AAcosta, BGlazer, JPatterson, RGarciaSais"
Blue runner,5,"BGlazer, DBehringer, RAppeldoorn, RGarciaSais, WMerten"
Dolphinfish,4,"AAcosta, DBehringer, RGarciaSais, WMerten"
Gray angelfish,2,"AKough, CTuohy"
Hogfish,3,"AKough, CTuohy, MScharer"
King mackerel,5,"AAcosta, BGlazer, RAppeldoorn, RGarciaSais, WMerten"
Lane snapper,3,"AAcosta, KOverly, REsteves"
Long-spined sea urchin,4,"DBehringer, JPatterson, OTzadik, SWilliams"
Misty grouper,3,"AAcosta, MScharer, SKadison"
Mutton snapper,4,"KOverly, REsteves, SKadison, WMerten"
Nassau grouper,4,"CZayas, MScharer, OTzadik, SKadison"
Queen conch,4,"AKough, BGlazer, OTzadik, RAppeldoorn"
Queen snapper,4,"KOverly, RGarciaSais, SWilliams, WMerten"
Queen triggerfish,2,"CTuohy, CZayas"
Rainbow parrotfish,3,"CTuohy, CZayas, REsteves"
Red grouper,4,"MScharer, OTzadik, RAppeldoorn, SKadison"
Red hind,4,"CZayas, MScharer, OTzadik, SKadison"
Sea cucumbers,4,"JPatterson, OTzadik, RAppeldoorn, SWilliams"
Silk snapper,4,"AKough, CTuohy, KOverly, REsteves"
Spiny lobster,4,"AKough, BGlazer, DBehringer, SWilliams"
Stoplight parrotfish,3,"CTuohy, CZayas, REsteves"
White mullet,4,"DBehringer, JPatterson, RGarciaSais, WMerten"
Yellowfin grouper,4,"CZayas, MScharer, RAppeldoorn, SKadison"
Yellowtail snapper,3,"AAcosta, KOverly, REsteves"
