Stock,Vuln_rank,Data_quality_rank,Prop_ge_2,Mean_score,N_adequate,N_limited,N_expert,N_nodata
Misty Grouper,Very High,Moderate,0.58,1.62,3,32,24,1
Nassau Grouper,Very High,High,0.81,2.22,27,25,11,1
Queen Conch,Very High,High,0.9,2.53,37,16,6,0
Rainbow Parrotfish,Very High,Moderate,0.65,1.98,26,15,17,5
Red Hind,Very High,High,0.83,2.25,30,23,8,3
Diadema,Very High,Moderate,0.78,2.17,23,24,13,0
Mutton Snapper,Very High,High,0.88,2.22,20,32,7,0
Yellowfin Grouper,Very High,Moderate,0.56,1.64,9,27,24,4
Red Grouper,Very High,Moderate,0.61,1.77,10,29,25,0
Stoplight Parrotfish,Very High,Moderate,0.67,1.94,26,16,12,9
Gray Angelfish,Very High,Moderate,0.64,1.84,19,22,17,6
Hogfish,Very High,Moderate,0.73,2.09,23,24,17,0
Queen Triggerfish,High,Moderate,0.75,2.13,28,19,12,4
Lane Snapper,High,Moderate,0.7,2.1,26,16,16,2
Yellowtail Snapper,High,High,0.87,2.42,33,19,8,0
Sea Cucumber,High,Poor,0.43,1.3,1,25,25,9
Queen Snapper,Moderate,Moderate,0.61,1.8,11,23,22,0
King Mackerel,Moderate,Moderate,0.7,1.78,6,39,18,1
Ballyhoo,Moderate,Poor,0.47,1.58,11,17,28,4
Silk Snapper,Moderate,Moderate,0.64,1.64,6,30,14,6
Spiny Lobster,Moderate,High,0.93,2.52,36,20,3,1
Atlantic Herring,Low,Moderate,0.52,1.72,12,19,29,0
Blue Runner,Low,Moderate,0.61,1.74,8,30,24,0
Dolphinfish,Low,High,0.83,2.3,30,23,11,0
White Mullet,Low,Moderate,0.73,1.92,16,28,11,5
