species,scientific_name,sp_code
silk snapper,Lutjanus vivanus,slk_snp
queen snapper,Etelis oculatus,qn_snp
mutton snapper,Lutjanus analis,mut_snp
yellowtail snapper,Ocyurus chrysurus,yt_snp
lane snapper,Lutjanus synagris,ln_snp
Nassau grouper,Epinephelus striatus,nas_grp
red hind,Epinephelus guttatus,rd_hnd
yellowfin grouper,Mycteroperca venenosa,yfn_grp
red grouper,Epinephelus morio,rd_grp
misty grouper,Hyporthodus mystacinus,mist_grp
stoplight parrotfish,Sparisoma viride,sl_par
rainbow parrotfish,Scarus guacamaia,rb_par
queen triggerfish,Balistes vetula,qn_trg
Gray angelfish,Pomacanthus arcuatus,gr_ang
hogfish,Lachnolaimus maximus,hogfish
king mackerel,Scomberomorus cavalla,kg_mck
blue runner,Caranx crysos,bl_run
queen conch,Aliger gigas,conch
sea cucumbers,Holothuria mexicana,sea_cuc
long spined sea urchin,Diadema antillarum,urchin
dolphinfish,Coryphaena hippurus,dolphin
spiny lobster,Panulirus argus,lobster
Atlantic thread herring,Opisthonema oglinum,herr
ballyhoo,Hemiramphus brasiliensis,ballyhoo
white mullet,Mugil curema,wt_mul
